id,x_cg,y_cg,z_cg,u_cg,v_cg,w_cg,p_cg,lmix_cg,nut_cg,yw_cg,x_hf,y_hf,z_hf,volume_hf,yw_hf,u_hf,v_hf,w_hf,dx,dy,dz,coord_dist,du,dv,dw,err_mag,speed_hf,speed_cg,speed_error
10,5.027988674266e+00,5.357142857143e-01,2.728428646055e-01,-1.407927385193e-02,1.815179625222e-02,-4.012072773373e-02,1.501702894183e+00,4.500000000000e-02,6.329780761418e-04,4.515609184836e-01,5.027988674266e+00,5.357142857143e-01,2.728428646055e-01,1.519399837643e-02,4.515609184836e-01,-3.709064930293e-02,-4.449335651708e-02,-1.442490695931e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.301137545101e-02,6.264515276930e-02,-2.569582077442e-02,7.151373134516e-02,5.969466459118e-02,4.623187702510e-02,-1.346278756609e-02
11,5.027988673568e+00,7.500000000000e-01,2.728428645880e-01,-2.084144624943e-02,1.550082449848e-02,-6.319249726452e-03,1.501494169515e+00,4.500000000000e-02,4.206556747679e-04,4.065869718321e-01,5.027988673568e+00,7.500000000000e-01,2.728428645880e-01,1.519399821198e-02,4.065869718321e-01,-2.093231305017e-02,-6.238016258234e-02,-4.073266173135e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.086680074128e-05,7.788098708083e-02,3.441341200490e-02,8.514540111644e-02,7.738602034703e-02,2.673152369406e-02,-5.065449665297e-02
12,5.157931095631e+00,1.071428576786e-01,2.727619481628e-01,3.072571465721e-03,8.108302286017e-04,-3.780930358505e-02,1.502339477257e+00,4.392857164821e-02,5.654107084649e-04,1.071428576786e-01,5.157931095631e+00,1.071428576786e-01,2.727619481628e-01,1.518950566497e-02,1.071428576786e-01,2.154489429300e-03,-9.960612983535e-04,5.858536966723e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.180820364206e-04,1.806891526955e-03,-9.639467325229e-02,9.641597773725e-02,5.863343331119e-02,3.794260901227e-02,-2.069082429891e-02
13,5.157931094933e+00,3.214285730357e-01,2.727619481453e-01,3.306791360859e-03,1.258020860049e-02,-4.197455543732e-02,1.502436991287e+00,4.500000000000e-02,6.040081070098e-04,3.214285730357e-01,5.157931094933e+00,3.214285730357e-01,2.727619481453e-01,1.518950582737e-02,3.214285730357e-01,-2.740783158243e-02,-1.710586696487e-02,3.528023811420e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,3.071462294329e-02,2.968607556535e-02,-7.725479355152e-02,8.827771106972e-02,4.783821817402e-02,4.394382575171e-02,-3.894392422307e-03
14,5.157931094235e+00,5.357142883929e-01,2.727619481278e-01,-8.958226978797e-03,2.030080489876e-02,-1.675114126850e-02,1.502059859341e+00,4.500000000000e-02,5.012804247038e-04,3.246829562754e-01,5.157931094235e+00,5.357142883929e-01,2.727619481278e-01,1.518950598977e-02,3.246829562754e-01,-2.853777320600e-02,-2.787811640716e-02,1.232176164324e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.957954622720e-02,4.817892130592e-02,-2.907290291174e-02,5.958020453456e-02,4.175427743310e-02,2.780239637043e-02,-1.395188106267e-02
15,5.157931093537e+00,7.500000016071e-01,2.727619481103e-01,-1.438841152028e-02,1.968330400898e-02,4.864916646412e-03,1.501697111335e+00,4.500000000000e-02,3.022024042501e-04,2.839884992520e-01,5.157931093537e+00,7.500000016071e-01,2.727619481103e-01,1.518950584837e-02,2.839884992520e-01,-1.460564873712e-02,-4.048667060920e-02,-1.283275962846e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.172372168485e-04,6.016997461818e-02,1.769767627487e-02,6.271906235819e-02,4.491297353474e-02,2.486214505555e-02,-2.005082847919e-02
16,4.968910397552e+00,1.071428571429e-01,-8.153195669811e-01,-8.763628947922e-03,-4.395475009709e-03,4.499176565520e-02,1.501314813168e+00,4.392857142857e-02,6.123539201537e-04,1.071428571429e-01,4.968910397552e+00,1.071428571429e-01,-8.153195669811e-01,1.518921851482e-02,1.071428571429e-01,1.597692879766e-02,-1.129366139208e-02,-5.099600665255e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-2.474055774558e-02,6.898186382371e-03,5.009136632045e-02,5.629231877244e-02,2.021917328650e-02,4.604758809829e-02,2.582841481179e-02
17,4.968910397552e+00,3.214285714286e-01,-8.153195669811e-01,5.577344207255e-04,-1.741317324271e-02,6.073777427218e-02,1.501323105754e+00,4.500000000000e-02,4.635844649734e-04,3.214285714286e-01,4.968910397552e+00,3.214285714286e-01,-8.153195669811e-01,1.518921851482e-02,3.214285714286e-01,-1.275207470802e-02,-3.382393742619e-02,9.042572428014e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.330980912874e-02,1.641076418347e-02,5.169520184417e-02,5.584673753980e-02,3.726180710171e-02,6.318707853354e-02,2.592527143183e-02
18,4.968910397552e+00,5.357142857143e-01,-8.153195669811e-01,4.718523959464e-03,-2.080969827874e-02,5.511629918743e-02,1.501438063588e+00,4.500000000000e-02,2.102509055253e-04,4.563734792918e-01,4.968910397552e+00,5.357142857143e-01,-8.153195669811e-01,1.518921851482e-02,4.563734792918e-01,-2.104682797946e-02,-4.822386250850e-02,1.837470965665e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,2.576535193893e-02,2.741416422977e-02,5.327882822177e-02,6.522287403694e-02,5.264870542365e-02,5.910257563700e-02,6.453870213349e-03
19,4.968910397552e+00,7.500000000000e-01,-8.153195669811e-01,1.521686492048e-03,-1.971093455312e-02,4.792970993504e-02,1.501475997049e+00,4.500000000000e-02,2.272911603722e-04,4.107753761903e-01,4.968910397552e+00,7.500000000000e-01,-8.153195669811e-01,1.518921851482e-02,4.107753761903e-01,-1.816441289264e-02,-6.473408090182e-02,-9.496487430980e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.968609938468e-02,4.502314634870e-02,5.742619736602e-02,7.558038343407e-02,6.790162295162e-02,5.184682791834e-02,-1.605479503328e-02
20,5.100366790156e+00,1.071428571429e-01,-8.152386505034e-01,-3.661543653050e-03,-1.400400890236e-03,4.280664293571e-02,1.501661611708e+00,4.392857142857e-02,5.159150844284e-04,1.071428571429e-01,5.100366790156e+00,1.071428571429e-01,-8.152386505034e-01,1.519381648807e-02,1.071428571429e-01,2.902043667476e-02,-3.953955165675e-03,-4.077195390830e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,-3.268198032781e-02,2.553554275439e-03,4.688383832654e-02,5.720775099420e-02,2.957098288020e-02,4.298577327444e-02,1.341479039424e-02
21,5.100366790156e+00,3.214285714286e-01,-8.152386505034e-01,6.482151265398e-03,-7.500029333303e-03,6.744177507682e-02,1.501640161673e+00,4.500000000000e-02,2.391730714630e-04,3.214285714286e-01,5.100366790156e+00,3.214285714286e-01,-8.152386505034e-01,1.519381648807e-02,3.214285714286e-01,-2.205734942901e-03,-2.451755320551e-02,1.660211300288e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,8.687886208299e-03,1.701752387220e-02,5.083966207394e-02,5.431157082337e-02,2.969184800553e-02,6.816642685765e-02,3.847457885212e-02
22,5.100366790156e+00,5.357142857143e-01,-8.152386505034e-01,7.368724373023e-03,-8.641715871340e-03,6.486167778420e-02,1.501656768527e+00,4.500000000000e-02,1.915786162348e-04,3.279582654914e-01,5.100366790156e+00,5.357142857143e-01,-8.152386505034e-01,1.519381648807e-02,3.279582654914e-01,-1.211358121556e-02,-2.723448701647e-02,9.758028752264e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,1.948230558858e-02,1.859277114513e-02,5.510364903194e-02,6.133240176723e-02,3.136359765789e-02,6.584842137112e-02,3.448482371323e-02
