seed,gen,rank,fitness,expr
1,0,0,1.286268614954e-03,"neg(yw)"
1,0,1,1.345038604644e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,0,2,1.355714495976e-03,"mul(0.3955753946414917, protected_tanh(neg(yw)))"
1,0,3,1.373811411175e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,0,4,1.387112452404e-03,"add(yw, neg(yw))"
1,0,5,1.388221535421e-03,"protected_tanh(neg(0.08900225798255168))"
1,0,6,1.388795307730e-03,"protected_tanh(-0.12947733335425327)"
1,0,7,1.396483868867e-03,"add(0.2609624449125756, neg(add(-0.4716525234779937, -0.06723293209494663)))"
1,0,8,1.448711151612e-03,"add(protected_tanh(0.14715616531930265), yw)"
1,0,9,1.452094303520e-03,"protected_tanh(yw)"
1,1,0,1.234632112427e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,1,1,1.286268502607e-03,"neg(yw)"
1,1,2,1.310270328296e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), neg(yw)))"
1,1,3,1.345038646420e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,1,4,1.353119074210e-03,"mul(0.3955753946414917, sub(mul(-0.045298369954336115, -0.0035063440071716467), add(yw, -0.11344289523853013)))"
1,1,5,1.385870738073e-03,"protected_tanh(neg(-0.20971567876998054))"
1,1,6,1.417810058670e-03,"sub(add(0.3998185003560202, yw), mul(yw, yw))"
1,1,7,1.444723344194e-03,"sub(neg(0.04470216357890444), sub(-0.27680421975332925, yw))"
1,1,8,1.456447715037e-03,"yw"
1,1,9,1.487467771060e-03,"add(yw, neg(0.43916701894858656))"
1,2,0,1.234632113437e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,1,1.234632186901e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,2,1.286268606118e-03,"neg(yw)"
1,2,3,1.286268609602e-03,"neg(yw)"
1,2,4,1.305559335147e-03,"mul(add(0.33757797566257286, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,5,1.326851796368e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(yw, yw)))"
1,2,6,1.376250572971e-03,"mul(add(yw, yw), add(-0.4854400250751877, protected_tanh(yw)))"
1,2,7,1.387088146755e-03,"mul(mul(sub(yw, 0.4522444552911937), neg(yw)), add(0.2591161827164402, -0.2504407743465772))"
1,2,8,1.398262037186e-03,"add(0.4321874718936273, 0.41444463940257725)"
1,2,9,1.456447746196e-03,"yw"
1,3,0,1.234632113436e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,3,1,1.234632113437e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,3,2,1.270452931995e-03,"neg(sub(yw, -0.3326165625386682))"
1,3,3,1.286268464952e-03,"neg(yw)"
1,3,4,1.305558283743e-03,"mul(add(0.33757797566257286, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,3,5,1.326851801329e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(yw, yw)))"
1,3,6,1.387937862388e-03,"mul(add(yw, yw), mul(-0.05015546536990223, -0.1014448399620892))"
1,3,7,1.392572460945e-03,"-0.3848975015720727"
1,3,8,1.411764324312e-03,"mul(add(yw, yw), add(0.4107644182793333, -0.2504407743465772))"
1,3,9,1.418673002343e-03,"mul(add(yw, yw), protected_tanh(0.21161094663299684))"
1,4,0,1.178614994878e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, -0.2504407743465772))"
1,4,1,1.178915549922e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,4,2,1.234631851275e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,4,3,1.234632113436e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,4,4,1.234632113437e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,4,5,1.286268607501e-03,"neg(yw)"
1,4,6,1.289939078579e-03,"mul(add(yw, yw), add(-0.4854400250751877, mul(sub(-0.39905237746070765, yw), sub(yw, yw))))"
1,4,7,1.305559391250e-03,"mul(add(0.33757797566257286, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,4,8,1.317574831953e-03,"mul(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,4,9,1.386018778604e-03,"mul(-0.19437712351323866, add(-0.4854400250751877, -0.2504407743465772))"
1,5,0,1.178614963140e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, -0.2504407743465772))"
1,5,1,1.178915535264e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,5,2,1.190381931900e-03,"mul(add(add(add(yw, yw), mul(-0.2504407743465772, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,5,3,1.234631851275e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,5,4,1.262441722375e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), sub(sub(-0.004927749283989091, 0.45653972942428345), neg(0.06040743448798902)))"
1,5,5,1.288247309646e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.006738957249862065))"
1,5,6,1.305559392022e-03,"mul(add(0.33757797566257286, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,5,7,1.310151784803e-03,"mul(add(add(add(-0.4854400250751877, -0.2504407743465772), mul(yw, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,5,8,1.410652030545e-03,"mul(add(yw, yw), add(protected_tanh(yw), -0.2504407743465772))"
1,5,9,1.443677680762e-03,"mul(add(yw, add(protected_tanh(-0.3278257801201573), yw)), add(yw, yw))"
1,6,0,1.178614963140e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, -0.2504407743465772))"
1,6,1,1.178915535264e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,6,2,1.214106822057e-03,"mul(add(add(mul(yw, yw), protected_tanh(yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,6,3,1.214348259898e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), -0.29339418431481534), add(-0.4854400250751877, sub(-0.004927749283989091, 0.45653972942428345)))"
1,6,4,1.335213667777e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, -0.18886434595481993)), yw), sub(-0.2504407743465772, neg(0.06040743448798902)))"
1,6,5,1.378364655718e-03,"mul(mul(mul(yw, 0.24957681118975672), add(yw, 0.07908262328084315)), add(-0.4854400250751877, -0.2504407743465772))"
1,6,6,1.400131945082e-03,"mul(add(yw, add(add(-0.4854400250751877, -0.2504407743465772), yw)), yw)"
1,6,7,1.443790272745e-03,"mul(neg(sub(yw, 0.10067908118705848)), add(-0.4854400250751877, -0.2504407743465772))"
1,6,8,1.457847997730e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), yw)"
1,6,9,1.472989186115e-03,"mul(add(yw, neg(-0.3352457813167262)), add(yw, yw))"
1,7,0,1.119191534221e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, add(-0.4854400250751877, -0.2504407743465772)))"
1,7,1,1.178614963140e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, -0.2504407743465772))"
1,7,2,1.178915535264e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,7,3,1.214106813848e-03,"mul(add(add(mul(yw, yw), protected_tanh(yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,7,4,1.235054812517e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), mul(-0.006738957249862065, -0.18886434595481993)), add(-0.4854400250751877, -0.2504407743465772))"
1,7,5,1.284019032652e-03,"mul(add(add(mul(yw, yw), -0.2504407743465772), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,7,6,1.314873588280e-03,"mul(add(add(add(yw, yw), yw), yw), sub(-0.2504407743465772, neg(0.06040743448798902)))"
1,7,7,1.315858784454e-03,"mul(add(yw, add(yw, yw)), -0.2504407743465772)"
1,7,8,1.316536280724e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), -0.29339418431481534), neg(yw))"
1,7,9,1.369725858451e-03,"mul(add(add(add(yw, yw), mul(-0.006738957249862065, yw)), yw), add(-0.4854400250751877, protected_tanh(yw)))"
1,8,0,1.119191339563e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, add(-0.4854400250751877, -0.2504407743465772)))"
1,8,1,1.119191429779e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, add(-0.4854400250751877, -0.2504407743465772)))"
1,8,2,1.119191534221e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, add(-0.4854400250751877, -0.2504407743465772)))"
1,8,3,1.175969502710e-03,"mul(add(add(add(yw, yw), mul(0.06040743448798902, yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,8,4,1.178614955989e-03,"mul(add(yw, add(yw, yw)), add(-0.4854400250751877, -0.2504407743465772))"
1,8,5,1.202758414856e-03,"mul(add(yw, add(neg(protected_tanh(-0.3479300330424998)), yw)), add(-0.4854400250751877, add(-0.4854400250751877, -0.2504407743465772)))"
1,8,6,1.214106803695e-03,"mul(add(add(mul(yw, yw), protected_tanh(yw)), yw), add(-0.4854400250751877, -0.2504407743465772))"
1,8,7,1.282643957815e-03,"mul(add(add(add(yw, yw), yw), yw), sub(-0.2504407743465772, neg(-0.006738957249862065)))"
1,8,8,1.284018983047e-03,"mul(add(add(mul(yw, yw), -0.2504407743465772), yw), add(-0.4854400250751877, -0.2504407743465772))"
