seed,gen,rank,fitness,expr
1,0,0,9.527795186558e-04,"neg(yw)"
1,0,1,9.570417266949e-04,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,0,2,9.691743784101e-04,"protected_tanh(-0.12947733335425327)"
1,0,3,9.758441514833e-04,"protected_tanh(neg(0.08900225798255168))"
1,0,4,9.767749936048e-04,"mul(0.3955753946414917, protected_tanh(neg(yw)))"
1,0,5,9.906867096204e-04,"add(yw, neg(yw))"
1,0,6,1.012037417051e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,0,7,1.022775400464e-03,"protected_tanh(yw)"
1,0,8,1.047855206841e-03,"add(protected_tanh(0.14715616531930265), yw)"
1,0,9,1.120991446176e-03,"add(0.2609624449125756, neg(add(-0.4716525234779937, -0.06723293209494663)))"
1,1,0,9.261857072346e-04,"add(yw, sub(-0.39123830755458666, yw))"
1,1,1,9.367198689538e-04,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,1,2,9.471284022311e-04,"sub(neg(yw), mul(yw, 0.16375780484398073))"
1,1,3,9.486791787207e-04,"sub(neg(0.1647435216084674), mul(yw, neg(-0.38580935430799)))"
1,1,4,9.527791175896e-04,"neg(yw)"
1,1,5,9.570417256830e-04,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,1,6,9.809495322976e-04,"mul(0.3955753946414917, protected_tanh(neg(0.14820280456237434)))"
1,1,7,1.005566543891e-03,"mul(yw, yw)"
1,1,8,1.024745244096e-03,"yw"
1,1,9,1.061203056857e-03,"sub(neg(0.04470216357890444), sub(-0.27680421975332925, yw))"
1,2,0,9.045032840708e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,2,1,9.171189431548e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,2,2,9.261857093385e-04,"add(yw, sub(-0.39123830755458666, yw))"
1,2,3,9.261857491843e-04,"add(yw, sub(-0.39123830755458666, yw))"
1,2,4,9.286548111270e-04,"mul(add(sub(mul(-0.28697020361918624, yw), neg(0.41444463940257725)), yw), sub(-0.39123830755458666, yw))"
1,2,5,9.367196175169e-04,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,6,9.367196883762e-04,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,2,7,9.471280304840e-04,"sub(neg(yw), mul(yw, 0.16375780484398073))"
1,2,8,1.002071237649e-03,"mul(add(yw, yw), add(yw, -0.2504407743465772))"
1,2,9,1.070958241719e-03,"neg(-0.4854400250751877)"
1,3,0,9.045032840716e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,3,1,9.171189431486e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,2,9.171189431494e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,3,9.171189431530e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,4,9.171189726673e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,5,9.261857374297e-04,"add(yw, sub(-0.39123830755458666, yw))"
1,3,6,9.271979230909e-04,"-0.3848975015720727"
1,3,7,9.415152718952e-04,"sub(neg(yw), mul(add(yw, yw), 0.16375780484398073))"
1,3,8,1.013560914522e-03,"mul(yw, protected_tanh(add(0.3967594152479079, yw)))"
1,3,9,1.014219019860e-03,"add(yw, sub(-0.39123830755458666, neg(add(yw, yw))))"
1,4,0,8.361495300355e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,4,1,8.866814902393e-04,"add(mul(yw, -0.31318714978743245), sub(protected_tanh(-0.48279980327676497), yw))"
1,4,2,9.045032840716e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,4,3,9.045032840717e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,4,4,9.049588320266e-04,"add(yw, add(-0.48279980327676497, -0.2504407743465772))"
1,4,5,9.171189431486e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,6,9.171189431530e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,7,9.171189431568e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,8,9.171189432254e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,9,9.207068055031e-04,"add(protected_tanh(neg(-0.240914008146355)), sub(protected_tanh(-0.4854400250751877), yw))"
1,5,0,8.361495300383e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,5,1,8.361495300384e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,5,2,8.866828308364e-04,"add(mul(yw, -0.31318714978743245), sub(protected_tanh(-0.48279980327676497), yw))"
1,5,3,9.036234179826e-04,"add(yw, add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,5,4,9.045032840709e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,5,5,9.045032842703e-04,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,5,6,9.171195430852e-04,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,5,7,9.321279530768e-04,"add(yw, add(add(add(mul(yw, yw), mul(0.03749231366736394, yw)), -0.40951156130425237), -0.2504407743465772))"
1,5,8,9.339602256562e-04,"protected_tanh(protected_tanh(-0.3737001799512))"
1,5,9,9.976078404596e-04,"neg(neg(0.04137765198498067))"
1,6,0,8.361495300201e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,6,1,8.361495300384e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,6,2,8.615467451981e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,6,3,8.738567034344e-04,"add(neg(sub(yw, 0.10067908118705848)), add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,6,4,8.981326487765e-04,"add(mul(mul(yw, 0.24957681118975672), add(yw, 0.07908262328084315)), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,6,5,9.036240785304e-04,"add(yw, add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,6,6,9.165504433249e-04,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(-0.48279980327676497, -0.10220268693512724)), yw))"
