seed,gen,rank,fitness,expr
2,0,0,1.542972943433e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
2,0,1,1.666047701753e-03,"add(sub(neg(0.044177047429320826), mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,0,2,1.670861954228e-03,"sub(mul(yw, 0.2729840570045846), neg(-0.1967032554942243))"
2,0,3,1.681506616431e-03,"add(sub(add(yw, yw), mul(yw, yw)), protected_tanh(sub(-0.2551680220309831, yw)))"
2,0,4,1.686754688728e-03,"neg(sub(0.21515089823745348, 0.1549109781559982))"
2,0,5,1.692388604871e-03,"add(-0.2443099459425574, yw)"
2,0,6,1.696330028946e-03,"mul(protected_tanh(0.16168560000397947), neg(0.06770507042024432))"
2,0,7,1.711249030389e-03,"add(-0.3281190078742676, add(yw, yw))"
2,0,8,1.713992586401e-03,"add(0.33549887812944956, -0.24841670240503433)"
2,0,9,1.775596261359e-03,"sub(0.498683568192552, sub(0.29675992142163954, 0.28974763746176324))"
2,1,0,1.542972942706e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
2,1,1,1.650711719920e-03,"sub(protected_tanh(neg(0.014802696764177115)), protected_tanh(yw))"
2,1,2,1.666047701753e-03,"add(sub(neg(0.044177047429320826), mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,1,3,1.670861954228e-03,"sub(mul(yw, 0.2729840570045846), neg(-0.1967032554942243))"
2,1,4,1.681506687101e-03,"add(sub(add(yw, yw), mul(yw, yw)), protected_tanh(sub(-0.2551680220309831, yw)))"
2,1,5,1.695630220023e-03,"sub(neg(0.43415435913377864), -0.41957078433605033)"
2,1,6,1.711249525999e-03,"add(-0.3281190078742676, add(yw, yw))"
2,1,7,1.719191937538e-03,"neg(sub(mul(0.1533146278413624, yw), 0.1549109781559982))"
2,1,8,1.720689255379e-03,"add(sub(yw, mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,1,9,1.780914182091e-03,"add(sub(add(yw, yw), mul(yw, yw)), protected_tanh(sub(yw, neg(0.044177047429320826))))"
2,2,0,1.542972942449e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
