seed,gen,rank,fitness,expr
1,6,4,1.551752877209e-03,"add(mul(mul(yw, 0.24957681118975672), add(yw, 0.07908262328084315)), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,6,5,1.558286107706e-03,"add(yw, add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,6,6,1.590269928123e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(-0.48279980327676497, -0.10220268693512724)), yw))"
1,6,7,1.616176360121e-03,"add(neg(-0.3352457813167262), sub(-0.4854400250751877, yw))"
1,6,8,1.767632494930e-03,"add(yw, add(mul(yw, yw), protected_tanh(yw)))"
1,6,9,1.778145873263e-03,"add(mul(yw, -0.31318714978743245), sub(protected_tanh(0.48321706674199083), add(add(-0.32372410479352465, -0.0732471181629697), protected_tanh(yw))))"
1,7,0,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,7,1,1.372116887052e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,7,2,1.372116915551e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,3,1.388531988191e-03,"add(-0.41058518749939865, sub(sub(protected_tanh(yw), sub(0.48321706674199083, mul(protected_tanh(-0.4991552820511105), neg(-0.14978724491000783)))), yw))"
1,7,4,1.417044189154e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,7,5,1.477500064384e-03,"add(neg(sub(yw, 0.10067908118705848)), add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,7,6,1.501618768268e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), protected_tanh(neg(yw))))"
1,7,7,1.568816646287e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(0.48321706674199083, yw))"
1,7,8,1.636202838065e-03,"add(add(-0.41058518749939865, add(mul(yw, 0.1008323865726104), protected_tanh(0.437476573471953))), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,7,9,1.757319568365e-03,"add(mul(mul(yw, 0.24957681118975672), add(yw, 0.07908262328084315)), sub(sub(protected_tanh(yw), sub(protected_tanh(-0.48279980327676497), -0.10220268693512724)), yw))"
1,8,0,1.372116886419e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,8,1,1.372116886463e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,8,2,1.372116886801e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(neg(-0.14978724491000783)), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,8,3,1.372116915551e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), yw))"
1,8,4,1.372116965130e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(-0.4802586126019154, yw))"
1,8,5,1.376283290044e-03,"add(add(add(-0.41058518749939865, -0.40951156130425237), -0.40951156130425237), sub(protected_tanh(mul(neg(yw), protected_tanh(yw))), neg(yw)))"
1,8,6,1.402123190456e-03,"add(-0.41058518749939865, sub(sub(protected_tanh(yw), sub(0.48321706674199083, mul(protected_tanh(-0.4991552820511105), yw))), yw))"
