seed,gen,rank,fitness,expr
1,0,0,1.509339414794e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,0,1,1.517177663343e-03,"protected_tanh(-0.12947733335425327)"
1,0,2,1.523007227968e-03,"protected_tanh(neg(0.08900225798255168))"
1,0,3,1.526945734751e-03,"neg(yw)"
1,0,4,1.529246408602e-03,"mul(0.3955753946414917, protected_tanh(neg(yw)))"
1,0,5,1.534964158982e-03,"add(yw, neg(yw))"
1,0,6,1.551422383519e-03,"protected_tanh(yw)"
1,0,7,1.553660269452e-03,"add(protected_tanh(sub(0.43916701894858656, yw)), mul(sub(yw, 0.4522444552911937), add(0.33757797566257286, yw)))"
1,0,8,1.569234617152e-03,"add(protected_tanh(0.14715616531930265), yw)"
1,0,9,1.614840596849e-03,"add(0.2609624449125756, neg(add(-0.4716525234779937, -0.06723293209494663)))"
1,1,0,1.471794301005e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,1,1,1.506796699118e-03,"sub(neg(0.1647435216084674), mul(yw, neg(-0.38580935430799)))"
1,1,2,1.509339414694e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,1,3,1.517175721103e-03,"protected_tanh(-0.12947733335425327)"
1,1,4,1.527081906946e-03,"mul(add(yw, yw), add(-0.4854400250751877, -0.2504407743465772))"
1,1,5,1.527298955429e-03,"mul(0.3955753946414917, protected_tanh(neg(0.14820280456237434)))"
1,1,6,1.527809894808e-03,"sub(neg(yw), mul(yw, 0.16375780484398073))"
1,1,7,1.539608970648e-03,"mul(yw, yw)"
1,1,8,1.552073792491e-03,"yw"
1,1,9,1.578453228131e-03,"sub(neg(0.04470216357890444), sub(-0.27680421975332925, yw))"
1,2,0,1.409222491643e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,2,1,1.459852554603e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,2,2,1.471794299027e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,2,3,1.471794301005e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,2,4,1.506796533768e-03,"sub(neg(0.1647435216084674), mul(yw, neg(-0.38580935430799)))"
1,2,5,1.507520967500e-03,"sub(neg(0.1647435216084674), mul(0.16375780484398073, 0.16375780484398073))"
1,2,6,1.509340114521e-03,"sub(neg(0.1647435216084674), mul(yw, 0.16375780484398073))"
1,2,7,1.511334029307e-03,"mul(add(sub(mul(-0.28697020361918624, yw), neg(0.41444463940257725)), yw), sub(-0.39123830755458666, yw))"
1,2,8,1.515225729605e-03,"sub(neg(0.1647435216084674), mul(yw, yw))"
1,2,9,1.551422380222e-03,"protected_tanh(yw)"
1,3,0,1.409222491539e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,3,1,1.459852409222e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,2,1.459852434744e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,3,1.459852554601e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,4,1.459852555021e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,3,5,1.471794121398e-03,"add(yw, sub(-0.39123830755458666, yw))"
1,3,6,1.473069930017e-03,"-0.3848975015720727"
1,3,7,1.477721169618e-03,"sub(yw, protected_tanh(add(0.3967594152479079, yw)))"
1,3,8,1.511947885403e-03,"protected_tanh(neg(0.1647435216084674))"
1,3,9,1.531384831924e-03,"add(yw, sub(-0.39123830755458666, neg(add(yw, yw))))"
1,4,0,1.291256835776e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,4,1,1.409222491444e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,4,2,1.409222491539e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,4,3,1.409969888009e-03,"add(yw, add(-0.48279980327676497, -0.2504407743465772))"
1,4,4,1.454426810198e-03,"add(mul(yw, -0.31318714978743245), sub(protected_tanh(-0.48279980327676497), yw))"
1,4,5,1.459852409222e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,6,1.459852434744e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,7,1.459852495039e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,8,1.459852555026e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,4,9,1.500561443227e-03,"add(protected_tanh(neg(-0.240914008146355)), sub(protected_tanh(-0.4854400250751877), yw))"
1,5,0,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,5,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,5,2,1.407776141720e-03,"add(yw, add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,5,3,1.409222491439e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,5,4,1.409222492943e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,5,5,1.409222492943e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,5,6,1.437746122038e-03,"add(yw, add(add(add(mul(yw, yw), mul(0.03749231366736394, yw)), -0.40951156130425237), -0.2504407743465772))"
1,5,7,1.459853064194e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), yw))"
1,5,8,1.481307312396e-03,"protected_tanh(protected_tanh(-0.3737001799512))"
1,5,9,1.540196903768e-03,"neg(neg(0.04137765198498067))"
1,6,0,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,6,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,6,2,1.291256832948e-03,"add(add(-0.41058518749939865, sub(-0.014216892239388157, 0.4763120008304985)), sub(protected_tanh(-0.48279980327676497), yw))"
1,6,3,1.346995946395e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), yw), yw))"
1,6,4,1.407776141720e-03,"add(yw, add(sub(-0.014216892239388157, 0.4763120008304985), -0.2504407743465772))"
1,6,5,1.409222491667e-03,"add(yw, add(-0.4854400250751877, -0.2504407743465772))"
1,6,6,1.409751187638e-03,"add(yw, add(add(sub(yw, 0.18163645560746822), -0.40951156130425237), -0.2504407743465772))"
1,6,7,1.429882647326e-03,"add(yw, add(-0.40951156130425237, -0.2504407743465772))"
1,6,8,1.503351926474e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(-0.4854400250751877, -0.10220268693512724)), neg(protected_tanh(yw))))"
1,6,9,1.578521929817e-03,"add(yw, add(0.48321706674199083, -0.2504407743465772))"
1,7,0,1.291256825891e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,7,2,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,3,1.291256832948e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,4,1.291256835539e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,5,1.396404556428e-03,"add(yw, add(-0.4854400250751877, -0.29339418431481534))"
1,7,6,1.409751187638e-03,"add(yw, add(add(sub(yw, 0.18163645560746822), -0.40951156130425237), -0.2504407743465772))"
1,7,7,1.426108527428e-03,"add(yw, add(-0.4854400250751877, -0.18886434595481993))"
1,7,8,1.478480106188e-03,"add(mul(neg(0.35569769979864363), sub(-0.295178262263183, yw)), sub(protected_tanh(-0.48279980327676497), yw))"
1,7,9,1.534845237463e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), yw), add(-0.41058518749939865, -0.40951156130425237)))"
1,8,0,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,8,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,8,2,1.291256832948e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,8,3,1.291256872878e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,8,4,1.320718625394e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), -0.41058518749939865))"
1,8,5,1.320718625395e-03,"add(add(yw, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,8,6,1.348938706859e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), -0.4854400250751877))"
1,8,7,1.435531644838e-03,"add(sub(0.12967535868865487, 0.2212843345795723), sub(protected_tanh(-0.48279980327676497), yw))"
1,8,8,1.462001938864e-03,"neg(protected_tanh(0.4703126430902784))"
1,8,9,1.569674191509e-03,"add(yw, add(yw, mul(yw, 0.12003370872766084)))"
1,9,0,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,9,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,9,2,1.291256832948e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(-0.48279980327676497, yw))"
1,9,3,1.291256835783e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,9,4,1.320718554521e-03,"add(add(yw, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,9,5,1.351140135456e-03,"add(add(-0.41058518749939865, protected_tanh(yw)), sub(protected_tanh(-0.48279980327676497), yw))"
1,9,6,1.360976540273e-03,"add(add(-0.41058518749939865, -0.40951156130425237), protected_tanh(mul(0.1096663306641944, yw)))"
1,9,7,1.436020909652e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(0.28976762488128116), yw))"
1,9,8,1.529687764277e-03,"add(yw, sub(protected_tanh(-0.48279980327676497), protected_tanh(-0.2911106085174323)))"
1,9,9,1.548030852651e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(add(yw, -0.03206336862207271), add(-0.41058518749939865, -0.40951156130425237)))"
1,10,0,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,10,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,10,2,1.291256835784e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(-0.40951156130425237), sub(0.48321706674199083, -0.10220268693512724)), yw))"
1,10,3,1.358686854798e-03,"add(add(-0.41058518749939865, -0.40951156130425237), protected_tanh(mul(0.1096663306641944, mul(yw, yw))))"
1,10,4,1.360124667391e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(yw, yw))"
1,10,5,1.378547700300e-03,"add(add(protected_tanh(-0.2880929823838405), yw), sub(-0.48279980327676497, yw))"
1,10,6,1.383616963414e-03,"add(yw, add(-0.41058518749939865, -0.40951156130425237))"
1,10,7,1.398693736526e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), sub(-0.05018608735580543, sub(0.48321706674199083, -0.10220268693512724))))"
1,10,8,1.452315910533e-03,"add(yw, sub(-0.48279980327676497, yw))"
1,10,9,1.552073579519e-03,"yw"
1,11,0,1.291256832760e-03,"add(add(-0.41058518749939865, add(sub(yw, yw), -0.40951156130425237)), sub(protected_tanh(-0.48279980327676497), yw))"
1,11,1,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(protected_tanh(-0.48279980327676497), yw))"
1,11,2,1.291256832947e-03,"add(add(-0.41058518749939865, -0.40951156130425237), sub(sub(protected_tanh(yw), sub(0.48321706674199083, -0.10220268693512724)), yw))"
