seed,gen,rank,fitness,expr
2,0,0,1.057153549907e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
2,0,1,1.217924104808e-03,"add(sub(neg(0.044177047429320826), mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,0,2,1.277676184598e-03,"neg(sub(0.21515089823745348, 0.1549109781559982))"
2,0,3,1.278102237994e-03,"sub(mul(yw, 0.2729840570045846), neg(-0.1967032554942243))"
2,0,4,1.287490721217e-03,"mul(protected_tanh(0.16168560000397947), neg(0.06770507042024432))"
2,0,5,1.306553395020e-03,"add(0.33549887812944956, -0.24841670240503433)"
2,0,6,1.311969598261e-03,"add(sub(add(yw, yw), mul(yw, yw)), protected_tanh(sub(-0.2551680220309831, yw)))"
2,0,7,1.334464527537e-03,"add(-0.2443099459425574, yw)"
2,0,8,1.381752726156e-03,"sub(0.498683568192552, sub(0.29675992142163954, 0.28974763746176324))"
2,0,9,1.390595579862e-03,"add(-0.3281190078742676, add(yw, yw))"
2,1,0,1.057153494763e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
2,1,1,1.155975230017e-03,"add(sub(neg(0.06770507042024432), mul(yw, yw)), mul(neg(yw), yw))"
2,1,2,1.162233507412e-03,"sub(neg(mul(0.1533146278413624, yw)), protected_tanh(yw))"
2,1,3,1.213437218045e-03,"sub(neg(0.43415435913377864), protected_tanh(mul(mul(-0.22126286829866515, yw), sub(yw, -0.0912735822779257))))"
2,1,4,1.217924104808e-03,"add(sub(neg(0.044177047429320826), mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,1,5,1.277676031591e-03,"neg(sub(0.21515089823745348, 0.1549109781559982))"
2,1,6,1.286711366283e-03,"protected_tanh(neg(0.014802696764177115))"
2,1,7,1.288234132147e-03,"mul(protected_tanh(0.16168560000397947), neg(0.044177047429320826))"
2,1,8,1.341515636860e-03,"sub(yw, neg(-0.1967032554942243))"
2,1,9,1.375975604627e-03,"add(sub(add(yw, yw), mul(yw, -0.41957078433605033)), protected_tanh(sub(-0.2551680220309831, yw)))"
2,2,0,1.057153494763e-03,"sub(neg(0.43415435913377864), protected_tanh(yw))"
2,2,1,1.155975203655e-03,"add(sub(neg(0.06770507042024432), mul(yw, yw)), mul(neg(yw), yw))"
2,2,2,1.217924298123e-03,"add(sub(neg(0.044177047429320826), mul(yw, yw)), mul(neg(yw), sub(yw, yw)))"
2,2,3,1.266648523986e-03,"add(sub(neg(0.06770507042024432), mul(yw, yw)), mul(neg(neg(0.43415435913377864)), yw))"
2,2,4,1.276178913635e-03,"add(sub(neg(0.06770507042024432), mul(yw, yw)), mul(neg(yw), neg(yw)))"
