region,n,mse_u,mse_v,mse_uv,ref_mean_U2,relative_mse,relative_l2,mean_Uref_mag,mean_Umoose_mag
all,1856,2.523579594403e-05,2.685662012404e-05,5.209241606807e-05,8.748844011659e-04,5.954205606895e-02,2.440124096618e-01,2.238512328512e-02,2.382700083498e-02
main_tank,1600,2.701714247728e-05,2.713224014651e-05,5.414938262378e-05,6.023558324044e-04,8.989600450557e-02,2.998266240773e-01,1.790079865571e-02,1.962448612540e-02
inlet_duct,128,1.250773748082e-06,4.844931940848e-05,4.970009315656e-05,2.528166583089e-03,1.965855157211e-02,1.402089568184e-01,5.027208676282e-02,5.003673045250e-02
outlet_duct,128,2.695398647436e-05,1.818670558762e-06,2.877265703312e-05,2.628209328761e-03,1.094762761788e-02,1.046309113880e-01,5.055221767507e-02,5.014870508725e-02
lower_tank,800,1.908858563530e-05,2.238817538365e-05,4.147676101895e-05,8.186975975052e-04,5.066188192727e-02,2.250819449162e-01,2.191500244994e-02,2.124007532483e-02
upper_tank,800,3.494569931925e-05,3.187630490937e-05,6.682200422862e-05,3.860140673036e-04,1.731076918916e-01,4.160621250386e-01,1.388659486148e-02,1.800889692597e-02
