id,mixing_length_aux_var,mu_eff_out,mu_t_out,pressure,u,v,x,y,z
0,0.0051246082954284,0.0029714687142847,4.1495714284657e-05,0.44939735284823,-0.00063421215103692,0.0079204375955687,-10.320806131839,0.015630578406,0
1,0.0051282629350816,0.0029815413136364,5.1568313636395e-05,0.44792352730011,-0.00082940708172962,0.02182919196114,-10.320706058195,0.046891603504968,0
2,0.0051314504095124,0.0029972760692818,6.7303069281816e-05,0.44476408759553,-0.00081254463203519,0.0355720569617,-10.320515964883,0.078152234193144,0
3,0.0051341707129354,0.0030149937569569,8.5020756956864e-05,0.43979602542527,-0.00062835936116837,0.049047349642493,-10.320235853425,0.10941220935795,0
4,0.0051364238698334,0.0030331181961618,0.00010314519616177,0.43312833231063,-0.00032192416402796,0.061987734568892,-10.319865726121,0.14067126595026,0
5,0.0051382098914785,0.0030509282166842,0.00012095521668422,0.42492398762026,7.8529297414668e-05,0.074230405146599,-10.319405586048,0.17192914034544,0
6,0.0051395287978435,0.0030680452536597,0.00013807225365973,0.41535636573986,0.00055426994708843,0.085684107882082,-10.318855437022,0.2031855710442,0
7,0.0051403806096463,0.003084248237846,0.000154275237846,0.40460283524243,0.0010913216894565,0.096294245483396,-10.318215283621,0.23444029630829,0
8,0.0051407653579483,0.0030994016278601,0.0001694286278601,0.39284088498164,0.0016782045377428,0.10602963439515,-10.317485131205,0.26569305333659,0
9,0.0051406830784368,0.0031134231702801,0.0001834501702801,0.38024388606952,0.0023049407165379,0.114876877646,-10.316664985919,0.29694357877994,0
10,0.0051401338148536,0.0031262668550675,0.00019629385506747,0.36697772040186,0.0029625072486758,0.12283658590464,-10.315754854659,0.32819161010258,0
11,0.0051391175746967,0.0031379128878702,0.00020793988787016,0.3531985082212,0.0036424865083809,0.12992059207377,-10.314754745039,0.35943688626655,0
12,0.0051376344163229,0.0031483615972359,0.00021838859723592,0.3390511889144,0.0043367415749765,0.13615042622694,-10.313664665465,0.39067914509589,0
13,0.0051356844099242,0.003157629502004,0.00022765650200403,0.32466794340767,0.0050365913044698,0.14155641486292,-10.312484625187,0.42191812240742,0
14,0.0051332675966323,0.0031657426183954,0.00023576961839543,0.31016469321432,0.0057318483068624,0.1461707663542,-10.311214634149,0.45315355610273,0
15,0.0051303840030428,0.0031727142905296,0.00024274129052963,0.29564604390451,0.0064152754586368,0.15001693872169,-10.309854703011,0.48438518526084,0
12928,0.0051311531001543,0.0031790388690742,0.00024906586907423,0.28124481972036,0.0070770800928508,0.15332182304151,-10.308393078428,0.51564643511277,0
12929,0.0051355943622635,0.0031846523990185,0.00025467939901847,0.26697572377052,0.0077574572731226,0.1560317016136,-10.306829575991,0.54693703296892,0
12930,0.00513956702509,0.0031892809649178,0.00025930796491785,0.25294587655904,0.0084273264809529,0.15809567445307,-10.305175776912,0.57822301796035,0
12931,0.0051430711522365,0.0031929762691225,0.00026300326912246,0.23922556262379,0.0090695741870603,0.15955363818273,-10.303431695059,0.60950412620468,0
12932,0.0051461068219934,0.0031957965750908,0.00026582357509083,0.22586842993763,0.0096814367035029,0.1604513546704,-10.301597345068,0.64078009391368,0
12933,0.0051486741114118,0.003197793113412,0.00026782011341196,0.21291775251751,0.010260922098985,0.16083223781512,-10.299672742342,0.67205065737441,0
