0.0,0.0
0.00153674,1.2044018
0.00463336,3.5837887
0.0078094,5.793715
0.011066,7.6709377
0.01440468,9.1642239
0.01782734,10.324934
0.02133512,11.231808
0.02492954,11.949513
0.02861212,12.5283
0.03238438,13.005067
0.03624746,13.404871
0.04020326,13.744968
0.04425292,14.042817
0.04839758,14.307232
0.05263914,14.54375
0.05697836,14.76122
0.06141676,14.96043
0.06595548,15.147672
0.07059566,15.323118
0.07533882,15.48988
0.08018572,15.649515
0.0851375,15.802085
0.0901953,15.949888
0.09535988,16.093473
0.100632,16.232484
0.10601242,16.368337
0.11150266,16.501422
0.11710234,16.63195
0.12281222,16.759916
0.12863344,16.885785
0.13456562,17.010031
0.14060952,17.132606
0.14676514,17.253559
0.15303286,17.372995
0.1594123,17.490907
0.16590384,17.607201
0.17250634,17.72212
0.17922056,17.835912
0.18604536,17.948607
0.19297998,18.060171
0.20002442,18.170511
0.20717716,18.279574
0.21443782,18.387296
0.22180488,18.493633
0.2292772,18.598728
0.23685326,18.702747
0.24453154,18.805618
0.2523109,18.907118
0.26018906,19.007038
0.26816412,19.105254
0.2762338,19.201776
0.2843962,19.296638
0.29264904,19.389745
0.30098928,19.480905
0.30941502,19.569972
0.31792246,19.6569
0.3265097,19.741642
0.33517332,19.824089
0.3439099,19.904045
0.35271602,19.981308
0.36158902,20.055737
0.37052472,20.12722
0.37951932,20.195574
0.38856978,20.260484
0.39767154,20.321523
0.40682118,20.378316
0.41601414,20.430675
0.42524662,20.478268
0.43451444,20.520826
0.44381304,20.558201
0.45313862,20.590095
0.46248624,20.616246
0.4718521,20.636552
0.48123126,20.651007
0.49061954,20.659542
0.500012,20.662061
0.50940446,20.658552
0.51879274,20.64907
0.5281719,20.63369
0.53753776,20.612535
0.54688538,20.585793
0.55621096,20.553645
0.56550956,20.516299
0.57477738,20.473975
0.58400986,20.426622
0.59320282,20.374314
0.60235246,20.317563
0.61145422,20.256824
0.62050468,20.192538
0.62949928,20.124973
0.63843498,20.054246
0.64730798,19.980534
0.6561141,19.904106
0.66485068,19.825088
0.6735143,19.743476
0.68210154,19.659363
0.69060898,19.573036
0.69903472,19.48478
0.70737496,19.394704
0.7156278,19.302817
0.7237902,19.20917
0.73185988,19.113793
0.73983494,19.016623
0.7477131,18.917759
0.75549246,18.817413
0.76317074,18.715697
0.7707468,18.612596
0.77821912,18.50814
0.78558618,18.402384
0.79284684,18.295291
0.79999958,18.186847
0.80704402,18.077108
0.81397864,17.966112
0.82080344,17.853924
0.82751766,17.740614
0.83412016,17.626249
0.8406117,17.510678
0.84699114,17.393672
0.85325886,17.275075
0.85941448,17.154718
0.86545838,17.03265
0.87139056,16.908957
0.87721178,16.783604
0.88292166,16.656027
0.88852134,16.525865
0.89401158,16.393146
0.899392,16.257612
0.90466412,16.118841
0.9098287,15.975434
0.9148865,15.827889
0.91983828,15.675719
0.92468518,15.516627
0.92942834,15.350583
0.93406852,15.175963
0.93860724,14.9895
0.94304564,14.790905
0.94738486,14.573613
0.95162642,14.336954
0.95577108,14.072187
0.95982074,13.773944
0.96377654,13.433453
0.96763962,13.033292
0.97141188,12.55608
0.97509446,11.976673
0.97868888,11.258105
0.98219666,10.350053
0.98561932,9.1875323
0.988958,7.6916047
0.9922146,5.8100515
0.99539064,3.594187
0.99848726,1.2080787
1.0,0.0
