rank_test,model,C1,C2,C3,train_mean_norm,test_mean_norm,test_CG1,test_CG2,test_CG3,test_CG4,test_frac_5pct_lower,test_frac_10pct_lower,expr
0,grid,-1.100000000000e+00,-4.800000000000e+00,-1.200000000000e-01,4.455139250607e-01,3.308616423530e-01,2.017596924968e-01,2.218686202337e-01,4.278115655764e-01,4.720066911049e-01,3.634549204856e-01,4.355869528044e-01,"raw = -1.1*eta_h + -4.8*eta_y + -0.12"
1,grid,-1.000000000000e+00,-4.800000000000e+00,-1.200000000000e-01,4.456794360632e-01,3.309697211831e-01,2.025030935534e-01,2.218215676531e-01,4.276709043712e-01,4.718833191545e-01,3.630701735636e-01,4.352957207592e-01,"raw = -1*eta_h + -4.8*eta_y + -0.12"
2,grid,-9.000000000000e-01,-4.800000000000e+00,-1.200000000000e-01,4.458473219679e-01,3.310787671006e-01,2.032469342869e-01,2.217773059839e-01,4.275306432462e-01,4.717601848855e-01,3.629499401505e-01,4.350044887141e-01,"raw = -0.9*eta_h + -4.8*eta_y + -0.12"
3,grid,-1.100000000000e+00,-4.800000000000e+00,-1.400000000000e-01,4.457840880035e-01,3.332749401659e-01,1.956065383618e-01,2.231448749772e-01,4.330187153774e-01,4.813296319471e-01,3.678714945280e-01,4.400302453830e-01,"raw = -1.1*eta_h + -4.8*eta_y + -0.14"
4,grid,-1.000000000000e+00,-4.800000000000e+00,-1.400000000000e-01,4.459063349565e-01,3.333460449569e-01,1.962757722150e-01,2.230518380566e-01,4.328659039018e-01,4.811906656540e-01,3.674520135089e-01,4.398004659713e-01,"raw = -1*eta_h + -4.8*eta_y + -0.14"
5,grid,-9.000000000000e-01,-4.800000000000e+00,-1.400000000000e-01,4.460315102378e-01,3.334230212497e-01,1.969657769665e-01,2.229610142826e-01,4.327134001303e-01,4.810518936195e-01,3.670352043434e-01,4.396027488030e-01,"raw = -0.9*eta_h + -4.8*eta_y + -0.14"
6,grid,-1.100000000000e+00,-4.800000000000e+00,-1.600000000000e-01,4.469327295313e-01,3.364379734131e-01,1.902723065594e-01,2.252163413512e-01,4.385894461397e-01,4.916737996021e-01,3.716414799932e-01,4.444922409371e-01,"raw = -1.1*eta_h + -4.8*eta_y + -0.16"
7,grid,-1.000000000000e+00,-4.800000000000e+00,-1.600000000000e-01,4.470102701243e-01,3.364631281137e-01,1.908264180779e-01,2.250764944133e-01,4.384280031698e-01,4.915215967937e-01,3.714971998974e-01,4.441876496238e-01,"raw = -1*eta_h + -4.8*eta_y + -0.16"
