elvol_aux_var,id,x,y,yw_aux_var,z
7.6817960797649e-05,0,-10.320806131839,0.015630578406,0.012499044622996,0
0.00023061550016342,1,-10.320706058195,0.046891603504968,0.012507958378248,0
0.00038458928585152,2,-10.320515964883,0.078152234193144,0.012515732706128,0
0.00053869220181608,3,-10.320235853425,0.10941220935795,0.012522367592525,0
0.00069287703116152,4,-10.319865726121,0.14067126595026,0.012527863097155,0
0.00084709668316075,5,-10.319405586048,0.17192914034544,0.012532219247509,0
0.0010013040206121,6,-10.318855437022,0.2031855710442,0.012535436092301,0
0.001155451895758,7,-10.318215283621,0.23444029630829,0.012537513682064,0
0.0013094930921169,8,-10.317485131205,0.26569305333659,0.012538452092557,0
0.0014633804805753,9,-10.316664985919,0.29694357877994,0.012538251410821,0
0.0016170669688069,10,-10.315754854659,0.32819161010258,0.012536911743545,0
0.0017705055555562,11,-10.314754745039,0.35943688626655,0.012534433109016,0
0.0019236489099888,12,-10.313664665465,0.39067914509589,0.012530815649568,0
0.0020764499402486,13,-10.312484625187,0.42191812240742,0.012526059536401,0
0.0022288618278115,14,-10.311214634149,0.45315355610273,0.012520164869835,0
0.002380837454303,15,-10.309854703011,0.48438518526084,0.012513131714739,0
0.0025400111558166,12928,-10.308393078428,0.51564643511277,0.012515007561352,0
0.0026960943337863,12929,-10.306829575991,0.54693703296892,0.01252583990796,0
0.0028520931730825,12930,-10.305175776912,0.57822301796035,0.012535529329488,0
0.0030079601345241,12931,-10.303431695059,0.60950412620468,0.012544075981065,0
0.0031636475725753,12932,-10.301597345068,0.64078009391368,0.012551480053642,0
0.0033191079725261,12933,-10.299672742342,0.67205065737441,0.012557741735151,0
0.0034742936884488,12934,-10.297657903061,0.7033155528666,0.012562861219455,0
7.6781546813005e-05,16,-10.295796647584,0.01563043719319,0.03751422638367,0
0.00023050632874202,17,-10.295678746525,0.046891183201047,0.037540967510413,0
0.0036291572565132,12935,-10.295552844171,0.73457451672501,0.012566838723861,0
0.00038440754040528,18,-10.295473104777,0.078151544783194,0.037564290172982,0
0.00053843822179391,19,-10.295179723824,0.1094112674375,0.037584194428314,0
0.00069255127006787,20,-10.294798605907,0.14067009477431,0.037600680362568,0
0.00084669973096079,21,-10.294329754025,0.17192776984303,0.037613748091028,0
0.001000836598592,22,-10.293773171898,0.20318403776461,0.037623397756981,0
0.0037836510710098,12936,-10.293357583388,0.76582728537941,0.012569674468995,0
0.0011549148586192,23,-10.293128863987,0.23443864342709,0.037629629532499,0
0.0013088874261763,24,-10.292396835517,0.26569133068251,0.037632443619584,0
0.0014627073018928,25,-10.291577092479,0.29694184284881,0.037631840250266,0
0.003937727642288,12937,-10.291072139216,0.79707359505149,0.012571368682435,0
0.0016163275212439,26,-10.290669641592,0.32818992403671,0.037627819685601,0
