elvol_aux_var,id,x,y,yw_aux_var,z
0.0016,118,-5.82,0.74,0.26,0
0.0015999999999999,145,-5.78,0.82,0.18,0
0.0015999999999999,146,-5.78,0.86,0.14,0
0.0015999999999999,147,-5.78,0.9,0.1,0
0.0015999999999999,148,-5.78,0.94,0.06,0
0.0015999999999999,149,-5.78,0.98,0.02,0
0.0016,126,-5.78,0.06,0.06,0
0.0016,127,-5.78,0.1,0.1,0
0.0016,128,-5.78,0.14,0.14,0
0.0015999999999999,133,-5.78,0.34,0.34,0
0.0016,134,-5.78,0.38,0.38,0
0.0016,135,-5.78,0.42,0.42,0
0.0016,136,-5.78,0.46,0.46,0
0.0016,137,-5.78,0.5,0.5,0
0.0016,138,-5.78,0.54,0.46,0
0.0016,139,-5.78,0.58,0.42,0
0.0016,140,-5.78,0.62,0.38,0
0.0016,141,-5.78,0.66,0.34,0
0.0015999999999999,143,-5.78,0.74,0.26,0
0.0016,144,-5.78,0.78,0.22,0
0.0016,125,-5.78,0.02,0.02,0
0.0016,129,-5.78,0.18,0.18,0
0.0016,130,-5.78,0.22,0.22,0
0.0016,131,-5.78,0.26,0.26,0
0.0016,132,-5.78,0.3,0.3,0
0.0015999999999999,142,-5.78,0.7,0.3,0
0.0016,167,-5.74,0.7,0.3,0
0.0016,169,-5.74,0.78,0.22,0
0.0016,170,-5.74,0.82,0.18,0
0.0016,171,-5.74,0.86,0.14,0
0.0016,172,-5.74,0.9,0.1,0
0.0016,173,-5.74,0.94,0.06,0
0.0016,174,-5.74,0.98,0.02,0
0.0016,151,-5.74,0.06,0.06,0
0.0016,152,-5.74,0.1,0.1,0
0.0016,153,-5.74,0.14,0.14,0
0.0016,154,-5.74,0.18,0.18,0
0.0016,156,-5.74,0.26,0.26,0
0.0016,157,-5.74,0.3,0.3,0
0.0016,158,-5.74,0.34,0.34,0
0.0016,159,-5.74,0.38,0.38,0
0.0016,160,-5.74,0.42,0.42,0
0.0016,161,-5.74,0.46,0.46,0
0.0016,162,-5.74,0.5,0.5,0
0.0016,163,-5.74,0.54,0.46,0
0.0016,164,-5.74,0.58,0.42,0
0.0016,165,-5.74,0.62,0.38,0
0.0016,166,-5.74,0.66,0.34,0
0.0016,168,-5.74,0.74,0.26,0
0.0016,150,-5.74,0.02,0.02,0
0.0016,155,-5.74,0.22,0.22,0
0.0016,188,-5.7,0.54,0.46,0
0.0016,189,-5.7,0.58,0.42,0
0.0016,192,-5.7,0.7,0.3,0
0.0016,195,-5.7,0.82,0.18,0
0.0016,196,-5.7,0.86,0.14,0
0.0016,197,-5.7,0.9,0.1,0
0.0016,198,-5.7,0.94,0.06,0
0.0016,199,-5.7,0.98,0.02,0
0.0016,185,-5.7,0.42,0.42,0
0.0016,190,-5.7,0.62,0.38,0
0.0016,175,-5.7,0.02,0.02,0
0.0016,176,-5.7,0.06,0.06,0
0.0016,177,-5.7,0.1,0.1,0
0.0016,178,-5.7,0.14,0.14,0
0.0016,179,-5.7,0.18,0.18,0
0.0016,180,-5.7,0.22,0.22,0
0.0016,181,-5.7,0.26,0.26,0
0.0016,182,-5.7,0.3,0.3,0
0.0016,183,-5.7,0.34,0.34,0
0.0016,184,-5.7,0.38,0.38,0
0.0016,186,-5.7,0.46,0.46,0
0.0016,187,-5.7,0.5,0.5,0
0.0016,191,-5.7,0.66,0.34,0
0.0016,193,-5.7,0.74,0.26,0
0.0016,194,-5.7,0.78,0.22,0
0.0016,200,-5.66,0.02,0.02,0
0.0016,201,-5.66,0.06,0.06,0
0.0016,202,-5.66,0.1,0.1,0
0.0016,203,-5.66,0.14,0.14,0
0.0016,204,-5.66,0.18,0.18,0
0.0016,205,-5.66,0.22,0.22,0
0.0016,207,-5.66,0.3,0.3,0
0.0016,208,-5.66,0.34,0.34,0
0.0016,209,-5.66,0.38,0.38,0
0.0016,210,-5.66,0.42,0.42,0
0.0016,211,-5.66,0.46,0.46,0
0.0016,212,-5.66,0.5,0.5,0
0.0016,213,-5.66,0.54,0.46,0
0.0016,214,-5.66,0.58,0.42,0
0.0016,215,-5.66,0.62,0.38,0
0.0016,216,-5.66,0.66,0.34,0
0.0016,217,-5.66,0.7,0.3,0
0.0016,218,-5.66,0.74,0.26,0
0.0016,219,-5.66,0.78,0.22,0
0.0016,220,-5.66,0.82,0.18,0
0.0016,221,-5.66,0.86,0.14,0
0.0016,222,-5.66,0.9,0.1,0
0.0016,223,-5.66,0.94,0.06,0
0.0016,224,-5.66,0.98,0.02,0
0.0016,206,-5.66,0.26,0.26,0
0.0016,226,-5.62,0.06,0.06,0
0.0016,227,-5.62,0.1,0.1,0
0.0015999999999999,228,-5.62,0.14,0.14,0
0.0016,229,-5.62,0.18,0.18,0
0.0016,233,-5.62,0.34,0.34,0
0.0016,235,-5.62,0.42,0.42,0
0.0016,225,-5.62,0.02,0.02,0
0.0016,230,-5.62,0.22,0.22,0
0.0016,232,-5.62,0.3,0.3,0
0.0016,234,-5.62,0.38,0.38,0
0.0016,236,-5.62,0.46,0.46,0
0.0016,237,-5.62,0.5,0.5,0
0.0016,238,-5.62,0.54,0.46,0
0.0016,239,-5.62,0.58,0.42,0
0.0016,240,-5.62,0.62,0.38,0
0.0016,241,-5.62,0.66,0.34,0
0.0016,242,-5.62,0.7,0.3,0
0.0016,244,-5.62,0.78,0.22,0
0.0016,245,-5.62,0.82,0.18,0
0.0016,246,-5.62,0.86,0.14,0
0.0016,247,-5.62,0.9,0.1,0
0.0016,248,-5.62,0.94,0.06,0
0.0016,249,-5.62,0.98,0.02,0
0.0016,231,-5.62,0.26,0.26,0
0.0016,243,-5.62,0.74,0.26,0
0.0016,250,-5.58,0.02,0.02,0
0.0016000000000001,251,-5.58,0.06,0.06,0
0.0016000000000001,252,-5.58,0.1,0.1,0
0.0016000000000001,253,-5.58,0.14,0.14,0
0.0016,254,-5.58,0.18,0.18,0
0.0016,255,-5.58,0.22,0.22,0
0.0016,256,-5.58,0.26,0.26,0
0.0016,257,-5.58,0.3,0.3,0
0.0016,258,-5.58,0.34,0.34,0
0.0016,259,-5.58,0.38,0.38,0
0.0016,260,-5.58,0.42,0.42,0
0.0016,261,-5.58,0.46,0.46,0
0.0016,262,-5.58,0.5,0.5,0
0.0016,263,-5.58,0.54,0.46,0
0.0016,264,-5.58,0.58,0.42,0
0.0016,265,-5.58,0.62,0.38,0
0.0016,266,-5.58,0.66,0.34,0
0.0016,267,-5.58,0.7,0.3,0
0.0016,268,-5.58,0.74,0.26,0
0.0016,269,-5.58,0.78,0.22,0
0.0016,270,-5.58,0.82,0.18,0
0.0016,271,-5.58,0.86,0.14,0
0.0016,272,-5.58,0.9,0.1,0
0.0016,273,-5.58,0.94,0.06,0
0.0016,274,-5.58,0.98,0.02,0
0.0016,275,-5.54,0.02,0.02,0
0.0016,276,-5.54,0.06,0.06,0
0.0016,277,-5.54,0.1,0.1,0
0.0016,278,-5.54,0.14,0.14,0
0.0016,279,-5.54,0.18,0.18,0
0.0016,280,-5.54,0.22,0.22,0
0.0016,281,-5.54,0.26,0.26,0
0.0016,282,-5.54,0.3,0.3,0
0.0016,283,-5.54,0.34,0.34,0
0.0016,284,-5.54,0.38,0.38,0
0.0016,285,-5.54,0.42,0.42,0
0.0016,286,-5.54,0.46,0.46,0
0.0016,287,-5.54,0.5,0.5,0
0.0016,288,-5.54,0.54,0.46,0
0.0016,289,-5.54,0.58,0.42,0
0.0016,290,-5.54,0.62,0.38,0
0.0016,291,-5.54,0.66,0.34,0
0.0016,292,-5.54,0.7,0.3,0
0.0016,293,-5.54,0.74,0.26,0
0.0016,294,-5.54,0.78,0.22,0
0.0016,295,-5.54,0.82,0.18,0
0.0016,296,-5.54,0.86,0.14,0
0.0016,297,-5.54,0.9,0.1,0
0.0016,298,-5.54,0.94,0.06,0
0.0016,299,-5.54,0.98,0.02,0
0.0016,300,-5.5,0.02,0.02,0
0.0016,301,-5.5,0.06,0.06,0
0.0016,302,-5.5,0.1,0.1,0
0.0016,303,-5.5,0.14,0.14,0
0.0016,304,-5.5,0.18,0.18,0
0.0016,305,-5.5,0.22,0.22,0
0.0016,306,-5.5,0.26,0.26,0
0.0016,307,-5.5,0.3,0.3,0
0.0016,308,-5.5,0.34,0.34,0
0.0016,309,-5.5,0.38,0.38,0
0.0016,310,-5.5,0.42,0.42,0
0.0016,311,-5.5,0.46,0.46,0
0.0016,312,-5.5,0.5,0.5,0
0.0016,313,-5.5,0.54,0.46,0
0.0016,314,-5.5,0.58,0.42,0
0.0016,315,-5.5,0.62,0.38,0
0.0016,316,-5.5,0.66,0.34,0
0.0016,317,-5.5,0.7,0.3,0
0.0016,318,-5.5,0.74,0.26,0
0.0016,319,-5.5,0.78,0.22,0
0.0016,320,-5.5,0.82,0.18,0
0.0016,321,-5.5,0.86,0.14,0
0.0016,322,-5.5,0.9,0.1,0
0.0016,323,-5.5,0.94,0.06,0
0.0016,324,-5.5,0.98,0.02,0
0.0016,325,-5.46,0.02,0.02,0
0.0016,326,-5.46,0.06,0.06,0
0.0016,327,-5.46,0.1,0.1,0
0.0016,328,-5.46,0.14,0.14,0
0.0016,329,-5.46,0.18,0.18,0
0.0016,330,-5.46,0.22,0.22,0
0.0016,331,-5.46,0.26,0.26,0
0.0016,332,-5.46,0.3,0.3,0
0.0016,333,-5.46,0.34,0.34,0
0.0016,334,-5.46,0.38,0.38,0
0.0016,335,-5.46,0.42,0.42,0
0.0016,336,-5.46,0.46,0.46,0
0.0016,337,-5.46,0.5,0.5,0
0.0016,338,-5.46,0.54,0.46,0
0.0016,339,-5.46,0.58,0.42,0
0.0016,340,-5.46,0.62,0.38,0
0.0016,341,-5.46,0.66,0.34,0
0.0016,342,-5.46,0.7,0.3,0
0.0016,343,-5.46,0.74,0.26,0
0.0016,344,-5.46,0.78,0.22,0
0.0016,345,-5.46,0.82,0.18,0
0.0016,346,-5.46,0.86,0.14,0
0.0016,347,-5.46,0.9,0.1,0
0.0016,348,-5.46,0.94,0.06,0
0.0016,349,-5.46,0.98,0.02,0
