dudx_aux_var,dudy_aux_var,dvdx_aux_var,dvdy_aux_var,eddy_viscosity_aux_var,id,mixing_length_aux_var,omega_mag_aux_var,omega_over_s_aux_var,pressure,strain_mag_aux_var,u,v,x,y,yw_aux_var,z
2.6241288458473,322.29211340987,-2.8776877737698,-1.8512028076201,0.021479596862773,0,0.0082,325.16980118364,1.0179156327408,-40.264721309226,319.44671122506,10.951549663316,-0.1062283544004,-5.98,0.02,0.02,0
-2.4301963171676,65.829745854637,-1.257761612202,1.3079156445371,0.039147697702986,1,0.0246,67.087507466839,1.03706420558,-38.777007470415,64.68983029775,14.831819409474,-0.041867870209205,-5.98,0.06,0.06,0
-0.047977565921578,28.655506049955,-0.15335488775519,0.44797667174192,0.047924086255392,2,0.041,28.808860937711,1.0105084733012,-38.863728281324,28.509272013915,16.217929331687,-0.0015951028374325,-5.98,0.1,0.1,0
0.15692583695007,20.428089591155,-0.27591193387399,-0.13431551500171,0.066403564187877,3,0.0574,20.704001525029,1.0272749196353,-38.848250973316,20.154294755271,17.12425989347,-0.0060297364698515,-5.98,0.14,0.14,0
0.14507089913539,16.776321357604,-0.44069583651251,-0.096766990065612,0.088981142449994,4,0.0738,17.217017194116,1.053835099717,-38.646861043388,16.33748695478,17.852176498979,-0.012340344037569,-5.98,0.18,0.18,0
-0.051578709702807,14.359681825511,-0.4761855333324,0.030506100784984,0.11245841502332,5,0.09,14.835867358844,1.0685774433306,-38.259824442562,13.88375494115,18.466365602078,-0.0137710956751,-5.98,0.22,0.22,0
-0.10145537151965,10.829853925386,-0.19272610062699,0.098787615535242,0.086176003441122,7,0.09,11.022580026013,1.036052899247,-37.772489544471,10.639012770509,19.468329232477,-0.0048642790983078,-5.98,0.3,0.3,0
-0.059506400036727,9.1203640366831,-0.089629099272849,0.05982224122066,0.073155338647355,8,0.09,9.209993135956,1.0197607690786,-37.712502711041,9.0315232897969,19.867339359051,-0.0019968467319512,-5.98,0.34,0.34,0
-0.055657092987369,7.285871927863,-0.018198250004389,0.045789650960637,0.058873945796419,9,0.09,7.3040701778674,1.0049091774025,-37.692994693308,7.2683883699283,20.197958355411,-7.8499800655128e-05,-5.98,0.38,0.38,0
-0.045136153136797,5.1447971504236,0.041682736383815,0.030501300667352,0.042015121488017,10,0.09,5.1031144140398,0.98381785628071,-37.718051199645,5.1870520355577,20.45020911328,0.0016663253448998,-5.98,0.42,0.42,0
0.011639800758245,2.6817999651573,0.067445081918643,-0.020111133814737,0.022270475637798,11,0.09,2.6143548832386,0.95086763743313,-37.77948466072,2.7494414367652,20.609542127445,0.002361604252733,-5.98,0.46,0.46,0
0.10676873067765,-0.047195079796655,0.0016298919027079,-0.057773550456583,0.0014387678738882,12,0.09,0.048824971699363,0.27487566127942,-37.827631886242,0.17762566344299,20.664753110493,5.7434639720955e-05,-5.98,0.5,0.5,0
0.012730395278979,-2.7320619876995,-0.064608523460247,-0.020791607595898,0.022654752502902,13,0.09,2.6674534642392,0.95372364176399,-37.782021414249,2.7968830250497,20.605766521061,-0.0022602797837936,-5.98,0.54,0.46,0
-0.044054554738729,-5.1322463836292,-0.040351118700947,0.028539430258268,0.041902354197791,14,0.09,5.0918952649283,0.98429676412036,-37.722477723082,5.1731301478754,20.446188151477,-0.001605893967951,-5.98,0.58,0.42,0
-0.050233363345158,-7.2274080580465,0.015698712338994,0.043236689956969,0.058419779370347,15,0.09,7.2431067703855,1.0042688533311,-37.698994326107,7.2123184407836,20.195186810371,2.2874636867889e-05,-5.98,0.62,0.38,0
