x0,x1,region,n,S_mean,S_p95,Omega_mean,Omega_p95,Omega_over_S_mean,Omega_over_S_p95,recirc_frac,yw_mean,mut_mean
-6.0,0.0,all,3750,40.978425148098616,337.6210826467263,40.95279439242482,337.668060118605,0.9706607160252507,1.020251627351378,0.0,0.2504,0.05771384236332054
0.0,6.0,all,7500,24.73951590133438,52.11647791079641,24.73648891635284,52.12061294955648,0.9886880240454783,1.162435201758544,0.24013333333333334,0.47708058514015766,0.10790508778252626
0.0,6.0,outer,3327,18.75920091218269,27.082579284010524,19.172925480681833,28.404256965026615,1.020966826309777,1.1295517270554183,0.012022843402464683,0.7511477962722163,0.15194952738867984
6.0,8.8,all,3500,17.26133035474469,28.653761290292877,17.10769867359795,28.624341862445736,0.9764338273312156,0.999955876151228,0.08257142857142857,0.5,0.08037935443866825
6.0,8.8,outer,1680,12.446701626148016,16.32708908823214,12.250957268617725,16.10772140781313,0.9735486413004824,0.9901195410701769,0.0,0.7600000000000001,0.10081828317179894
8.8,12.0,all,4000,14.599834913547681,23.94601403297899,14.528680357608108,23.946689481962295,0.9857944279601725,1.0000024135731655,0.0075,0.5,0.06643196291539598
8.8,12.0,outer,1920,9.69327195501947,13.04335200455713,9.590226071161526,12.925655137665435,0.9764950713002202,0.9940379493561526,0.0,0.7599999999999999,0.07851550283565768
12.0,20.0,all,10000,13.154613120568008,36.80917837394829,13.130565845532255,36.80938707943911,0.9922208576843347,1.0001406951313252,0.0,0.5,0.05279363897635148
12.0,20.0,outer,4800,7.073662428117563,10.391497584651884,7.037166959047823,10.342711411032653,0.9853826622470145,0.9977952015288852,0.0,0.76,0.05729666566775226
20.0,32.0,all,15000,12.01926939809779,34.103247993540144,12.018862544555542,34.11226597673371,0.9971959360650147,1.0003828531533083,0.0,0.5,0.04219844170573392
20.0,32.0,outer,7200,4.9678282257059845,7.390628546844452,4.961528650604909,7.376690508375318,0.9936588942026027,1.0004840361033338,0.0,0.76,0.040239408628218475
