region,n,mse_u,mse_v,mse_uv,ref_mean_U2,relative_mse,relative_l2,mean_Uref_mag,mean_Umoose_mag
all,1856,8.399022453097e-05,9.769298871354e-05,1.816832132445e-04,8.748844011659e-04,2.076653932821e-01,4.557031855080e-01,2.238512328512e-02,2.180088718977e-02
main_tank,1600,9.313325102669e-05,1.122997460156e-04,2.054329970423e-04,6.023558324044e-04,3.410492369972e-01,5.839942097292e-01,1.790079865571e-02,1.726771790790e-02
inlet_duct,128,1.558658535295e-07,2.185626323836e-07,3.744284859132e-07,2.528166583089e-03,1.481027747213e-04,1.216974834256e-02,5.027208676282e-02,5.001328668867e-02
outlet_duct,128,5.353675201187e-05,1.258294851853e-05,6.611970053040e-05,2.628209328761e-03,2.515769950546e-02,1.586117886711e-01,5.055221767507e-02,5.025310371428e-02
lower_tank,800,7.921482828801e-05,1.319805683460e-04,2.111953966340e-04,8.186975975052e-04,2.579650865931e-01,5.079026349539e-01,2.191500244994e-02,2.127663632313e-02
upper_tank,800,1.070516737654e-04,9.261892368524e-05,1.996705974506e-04,3.860140673036e-04,5.172624895392e-01,7.192096283694e-01,1.388659486148e-02,1.325879949267e-02
