id,u,v,x,y,z
0,-0.016224693810759,0.038158590926117,-10.320806131839,0.015630578406,0
1,-0.016083225816753,0.090215511280225,-10.320706058195,0.046891603504968,0
2,-0.016640847767999,0.14171206578513,-10.320515964883,0.078152234193144,0
3,-0.017232802313285,0.19276448372426,-10.320235853425,0.10941220935795,0
4,-0.017433498560323,0.2423702173342,-10.319865726121,0.14067126595026,0
5,-0.0170784158682,0.29004062416216,-10.319405586048,0.17192914034544,0
6,-0.01614858990315,0.33556889696175,-10.318855437022,0.2031855710442,0
7,-0.014687837599543,0.3788396600118,-10.318215283621,0.23444029630829,0
8,-0.012758497096917,0.41977375327851,-10.317485131205,0.26569305333659,0
9,-0.010424168489556,0.45832023341065,-10.316664985919,0.29694357877994,0
10,-0.0077447231714885,0.49445387553275,-10.315754854659,0.32819161010258,0
11,-0.0047751784732602,0.52817124298945,-10.314754745039,0.35943688626655,0
12,-0.0015655822868505,0.55948666256308,-10.313664665465,0.39067914509589,0
13,0.0018385699107343,0.5884293710448,-10.312484625187,0.42191812240742,0
14,0.0053940174125098,0.61504544803081,-10.311214634149,0.45315355610273,0
15,0.0090492938305528,0.63939283017082,-10.309854703011,0.48438518526084,0
12928,0.012778121639305,0.66156277129174,-10.308393078428,0.51564643511277,0
12929,0.016562364617098,0.68161514879049,-10.306829575991,0.54693703296892,0
12930,0.020372420653683,0.69958191822088,-10.305175776912,0.57822301796035,0
12931,0.024186314353554,0.71554115539652,-10.303431695059,0.60950412620468,0
12932,0.027982665263262,0.72958092532198,-10.301597345068,0.64078009391368,0
12933,0.031741116129526,0.74179159289197,-10.299672742342,0.67205065737441,0
12934,0.035443857303956,0.75226609304185,-10.297657903061,0.7033155528666,0
16,-0.14071801501669,0.026960426455656,-10.295796647584,0.01563043719319,0
17,-0.13768477186426,0.076345903157784,-10.295678746525,0.046891183201047,0
12935,0.039075763229913,0.76110068381016,-10.295552844171,0.73457451672501,0
18,-0.13383300129257,0.12512994767699,-10.295473104777,0.078151544783194,0
19,-0.12931310826519,0.17341696921253,-10.295179723824,0.1094112674375,0
20,-0.12422455030143,0.22051481428534,-10.294798605907,0.14067009477431,0
21,-0.11865599876214,0.26600576134212,-10.294329754025,0.17192776984303,0
22,-0.11268804615438,0.30967010857773,-10.293773171898,0.20318403776461,0
12936,0.042624169975771,0.76839448319746,-10.293357583388,0.76582728537941,0
23,-0.10639485404731,0.35136986117141,-10.293128863987,0.23443864342709,0
24,-0.099842325375821,0.39100710140716,-10.292396835517,0.26569133068251,0
25,-0.09308808720105,0.42851422286341,-10.291577092479,0.29694184284881,0
12937,0.046078795198136,0.77424848019266,-10.291072139216,0.79707359505149,0
26,-0.086182797091129,0.46384992339726,-10.290669641592,0.32818992403671,0
27,-0.07917136389571,0.49699522406624,-10.289674490278,0.35943531981677,0
12938,0.049431698210921,0.77876444710407,-10.288696530908,0.82831318230623,0
28,-0.072093874274882,0.527949614375,-10.288591646731,0.39067777465043,0
29,-0.064987277732745,0.55672776851594,-10.287421119966,0.42191703104268,0
12939,0.052677192310919,0.78204378842185,-10.286230778483,0.8595457838411,0
30,-0.057889216599586,0.58336202495596,-10.286162919675,0.45315283353051,0
31,-0.050841183303749,0.60792850941918,-10.284817056248,0.48438492779854,0
12940,0.055811971684034,0.78418603552711,-10.283674902745,0.8907711361664,0
12944,-0.043932578521034,0.63033192466247,-10.283351631677,0.51564589286941,0
12945,-0.03710315914898,0.65071887817156,-10.281766466217,0.54693546295705,0
12941,0.058837012821179,0.78528793122694,-10.281028925304,0.92198897548994,0
12946,-0.030374978389311,0.66914283273867,-10.280093290108,0.57822053696136,0
12947,-0.02376407896341,0.68567488116112,-10.278332116864,0.60950085768052,0
12942,0.061769295512856,0.78546201408166,-10.278292868489,0.953199038646,0
12948,-0.017287817716584,0.70039354568532,-10.276482960751,0.64077616800448,0
12943,0.064535320880299,0.7848231986657,-10.275466755388,0.9844010626959,0
12949,-0.010963571613116,0.71338061039725,-10.274545836783,0.67204621089658,0
12950,-0.0048068829851513,0.72472122146336,-10.27252076073,0.70331072931302,0
18688,0.069667744852377,0.78121112107038,-10.270840831443,1.0329193244649,0
32,-0.21044501849348,0.023385745556887,-10.270787163328,0.015630295980381,0
33,-0.20783087182426,0.068180400891781,-10.270651434855,0.046890762897126,0
34,-0.20389491767245,0.11254139015007,-10.270430244671,0.078150855373244,0
12951,0.0011688697306875,0.73450403786423,-10.270407749108,0.73456946626363,0
35,-0.19898335784827,0.15634761440817,-10.270123594223,0.10941032551705,0
36,-0.19323746395117,0.19910571285222,-10.269731485693,0.14066892359836,0
37,-0.18676427933115,0.24047920587548,-10.269253922002,0.17192639934062,0
38,-0.17966607258249,0.28025578858706,-10.268690906774,0.20318250448502,0
12952,0.0069524940469268,0.74282071663265,-10.268206819186,0.76582216485082,0
39,-0.17204370262033,0.31828740647845,-10.268042444353,0.23443699054588,0
40,-0.16399277486426,0.3544659460079,-10.26730853983,0.26568960802843,0
