id,mixing_length_aux_var,mu_eff_out,mu_t_out,pressure,u,v,x,y,z
0,0.010247965695381,0.0036000332328388,0.00026670023283879,0.40312886399332,-0.012883967884292,0.026604648279392,-10.308224675849,0.031260885553413,0
1,0.010260715752706,0.003629025054013,0.00029569205401304,0.39793765795821,-0.011943071381285,0.068691182381568,-10.307828942292,0.093781620016386,0
2,0.01026972872678,0.0036831862954647,0.00034985329546465,0.38720133159261,-0.0095343516723939,0.107383998373,-10.307077700108,0.15629924365789,0
3,0.010275004872556,0.0037458479937398,0.00041251499373977,0.37124394587773,-0.0063642969441351,0.14226147173082,-10.305970973474,0.21881168385313,0
4,0.010276544568151,0.0038081607043575,0.00047482770435748,0.35130800712198,-0.0028505587198379,0.17238201292465,-10.304508798655,0.28131686812124,0
5,0.010274348308422,0.0038656294563587,0.00053229645635865,0.32867628365169,0.00077531303462258,0.19744742096269,-10.302691224025,0.34381272289808,0
6,0.010268416781807,0.0039159989223108,0.00058266592231084,0.30443657849234,0.0043391974995659,0.21755118053407,-10.300518310036,0.40629717572198,0
7,0.010258750672982,0.0039582924704049,0.00062495947040494,0.2794714955629,0.0076818222024085,0.2329523402155,-10.297990129232,0.46876815428693,0
3232,0.010261826495045,0.0039940691298236,0.00066073612982359,0.25452514493282,0.01076071132652,0.24440977260121,-10.295062898001,0.53129009997189,0
3233,0.010277718702421,0.0040229018375442,0.00068956883754422,0.23008030452815,0.013639739368446,0.25211834000141,-10.291735936504,0.59386089842553,0
3234,0.01028986311999,0.0040437352218913,0.00071040222189133,0.20663980774984,0.016228761295109,0.25630524611168,-10.288052445609,0.65641191608369,0
3235,0.010298260999546,0.0040570417509059,0.00072370875090587,0.18452173283701,0.018476045609877,0.25739604783411,-10.284012547006,0.71894106966461,0
3236,0.01030291372429,0.0040634313307552,0.00073009833075524,0.16392273655947,0.020378863529516,0.25582716698424,-10.279616374571,0.78144627646687,0
3237,0.010303822826933,0.0040635437202127,0.00073021072021274,0.14495885477149,0.021958139254461,0.25202445922587,-10.27486407434,0.84392545464588,0
3238,0.010300989994125,0.0040581192201808,0.00072478622018076,0.12768032790172,0.023225974729328,0.24646570506557,-10.269755804553,0.90637652286051,0
3239,0.01029441707299,0.0040482580237782,0.00071492502377817,0.11192339372249,0.024070354064099,0.23933431948558,-10.264291735617,0.96879740064694,0
8,0.030771928705655,0.0066346849878583,0.0033013519878583,0.38439378114949,-0.1238091709648,0.032500368145121,-10.25818901942,0.031260327371189,0
9,0.030810177919142,0.0065185336067815,0.0031852006067815,0.38011037667055,-0.11829952700511,0.090676413789155,-10.257731092043,0.093779998630938,0
