eddy_viscosity_aux_var,id,u,v,x,y,z
0.0046980132699186,0,-0.20156503455031,0.19028421691598,-10.231699310924,0.12503062306913,0
0.0036003856457825,1,-0.089427240712696,0.27161246957086,-10.225806030949,0.37503063106913,0
0.0031876039608516,202,-0.01681935443955,0.32748611400781,-10.21400255559,0.62509227972422,0
0.0030361795799437,203,0.028407993712792,0.3420958025727,-10.196283149011,0.87509228772422,0
0.0027478947506498,292,0.057834318792193,0.29979884198411,-10.154999052333,1.2602531779641,0
0.002270114510633,293,0.057859048627904,0.21738123387966,-10.079976265047,1.7789074742176,0
0.0035305031356869,2,-0.50370857416184,0.11226610910384,-10.031347598699,0.12502381883161,0
0.0028464055591299,3,-0.32745386657281,0.19491894059544,-10.025334147122,0.37502382683161,0
0.0021550164525541,204,-0.19992052509394,0.26751524006462,-10.013288378896,0.62507177756331,0
0.0015628840897196,205,-0.1087650641022,0.31272668396327,-9.9952058328142,0.87507178556331,0
0.001830415651784,294,0.049761470962665,0.15332162599154,-9.9794518258133,2.2932281934203,0
0.00084415469946965,306,-0.012095306443958,0.34060580992149,-9.9542566112903,1.2546267975188,0
0.00047320494789475,307,0.034068446105194,0.31378293162374,-9.8799920299871,1.7620520100979,0
0.0014692269748185,295,0.040788319063147,0.11000932596101,-9.8536706340712,2.8019622127964,0
0.0023433881900935,4,-0.66302922278154,0.061010533055194,-9.8309958864731,0.12501701459409,0
0.0019166444557338,5,-0.46191724087218,0.11867475762477,-9.824862263296,0.37501702259409,0
0.0013584935785853,206,-0.30096464881393,0.16955552263726,-9.8125742022029,0.6250512754024,0
0.00094668981327198,207,-0.18287518392225,0.2005931610224,-9.7941285166173,0.8750512834024,0
0.00042233255339282,308,0.057496335773253,0.27289076019678,-9.7808435929224,2.2652078372527,0
0.00085961669379281,320,-0.061568154886008,0.22132554513005,-9.7535141702472,1.2490004170736,0
0.0011811129951154,296,0.03334163033172,0.080911974204874,-9.7029391278924,3.3038700225135,0
0.0008873776964416,321,-0.0027194441213648,0.20838412737789,-9.6800077949269,1.7451965459783,0
0.00050156225991683,309,0.066122981791634,0.22934900709816,-9.6570515634854,2.762874700083,0
0.0019844968335293,6,-0.76235039251463,0.036776734084553,-9.6306441742467,0.12501021035657,0
0.0016690214572546,7,-0.55178301870138,0.074613443810808,-9.6243903794689,0.37501021835657,0
0.0011602150406839,208,-0.36899141510294,0.10665045087619,-9.6118600255086,0.6250307732415,0
0.00064872446954473,209,-0.23122044770713,0.1240438309859,-9.5930512004199,0.8750307812415,0
0.00078455984777369,322,0.030024362623673,0.19297700376609,-9.5822353600316,2.2371874810851,0
0.00045305480980689,334,-0.095398923563129,0.13122144362309,-9.5527717292036,1.2433740366284,0
0.00095384658828891,297,0.027837573023221,0.061076259680429,-9.5276245383106,3.7977287418646,0
0.00055885676729675,310,0.066729273957996,0.18858852570612,-9.5089159419169,3.2538463243502,0
0.00060737628912984,335,-0.031749020281383,0.11758959907295,-9.4800235598663,1.7283410818587,0
0.00061068259531522,323,0.049135096409431,0.18072633835057,-9.4604324928996,2.7237871873695,0
0.001852210094507,8,-0.82740632174922,0.023736934135407,-9.4302924620217,0.12500340611904,0
0.0016301479469468,9,-0.61105519050441,0.048039562636791,-9.4239184956422,0.37500341411904,0
0.0012148772958696,210,-0.41203075394979,0.067223487904501,-9.4111458488142,0.62501027108059,0
0.0006930381535263,211,-0.2588194622473,0.075558235493742,-9.3919738842222,0.87501027908059,0
0.00066556652149632,336,0.00061026621105233,0.10701249147461,-9.3836271271404,2.2091671249175,0
0.00019306900113809,348,-0.11407646321426,0.074622575431706,-9.3520292881598,1.2377476561832,0
0.00056760111716004,311,0.063583534496295,0.15306563789087,-9.3367957389973,3.7369326611646,0
0.00077585274662551,298,0.023815887524471,0.04723019659808,-9.3281539941438,4.2823351010836,0
0.00041651993794369,324,0.05988595249729,0.1671412753693,-9.3148927559415,3.2038226261868,0
0.00027983997975043,349,-0.048041428982848,0.060547197037437,-9.2800393248054,1.7114856177391,0
0.00065742639441946,337,0.019269739482917,0.10347464992897,-9.2638134223135,2.6846996746562,0
0.0018231152496951,10,-0.87154959776855,0.016292485887232,-9.2120310172823,0.12500000400028,0
0.0016857035049953,11,-0.65018425594516,0.031600754290451,-9.2057578164058,0.37500001200028,0
0.001347681095502,212,-0.43854699864005,0.042455731636784,-9.1931863679753,0.62500002000014,0
0.0003751833649212,350,-0.018855403264934,0.051013213591254,-9.185018894249,2.1811467687501,0
0.00084850846746856,213,-0.27345987953449,0.044927230129463,-9.1743166719906,0.87500002800014,0
0.00023931243733342,325,0.064990543734683,0.15068265630914,-9.1459669396839,3.6761365804646,0
0.00054478190511709,312,0.058944057007819,0.12352180519161,-9.1411081053876,4.2109627737988,0
0.00027672392595162,362,-0.12299526023412,0.040180991352402,-9.1351883696699,1.2322813667445,0
0.00059370062552878,338,0.032389798654929,0.10336720703119,-9.1208695699658,3.1537989280236,0
0.00063668797715454,299,0.020745180337868,0.037206355040807,-9.1050134796945,4.7565083765589,0
0.00041296785016829,351,-0.0033995569106715,0.050410609088811,-9.0671943517273,2.645612161943,0
6.2431089907248e-05,363,-0.055487326409405,0.027624521544224,-9.0646766352212,1.6951422242358,0
0.0018493067399413,12,-0.90576074658482,0.011376046593329,-8.9758598400271,0.12500000400028,0
0.00015162109673168,364,-0.029450065853866,0.020037651616646,-8.9720113708913,2.1540594848639,0
0.0017707401048883,13,-0.67835749855214,0.020531089824733,-8.9699083417592,0.37500001200028,0
0.0014761908163967,214,-0.45526380934006,0.025893278307443,-8.9579815829918,0.62500002000015,0
0.0004926545233789,339,0.043080694664141,0.10407242418078,-8.9551381403705,3.6153404997649,0
0.00011906618488965,326,0.066569356451498,0.1333935206952,-8.9540622166315,4.139590446514,0
0.00097823960087328,215,-0.28021277376363,0.024482658156916,-8.9400795637247,0.87500002800015,0
0.0004213236832078,352,0.0076320572969129,0.053989773910386,-8.9268463839901,3.1037752298605,0
0.00050528630349751,313,0.053924831105271,0.099678245946001,-8.9223273193881,4.6747876785836,0
0.00039212013375926,376,-0.12644326679146,0.017866089960903,-8.9022489737336,1.2269751683121,0
0.00052730251465554,300,0.018276903457203,0.029673333912283,-8.8587466533686,5.2190932615846,0
0.0001976611451605,365,-0.017059058180182,0.020780286293559,-8.8574110129615,2.6079585276766,0
7.4280345903508e-05,377,-0.058363542303313,0.0089801084491075,-8.8339354911132,1.679310901349,0
0.00037779891312826,340,0.05086302263734,0.10191919904461,-8.7670163278753,4.0682181192296,0
0.00041399104864393,353,0.017541952477042,0.058715096364642,-8.7643093410569,3.5545444190653,0
4.8550473177036e-05,378,-0.034831743898233,0.0051879336162833,-8.7446045570671,2.1279052732591,0
0.0018935657047322,14,-0.92895757846702,0.008493289713369,-8.7396886627716,0.12500000400028,0
9.2998453900182e-05,327,0.065847239884778,0.11640033023609,-8.7396411590816,4.5930669806083,0
0.001850743327909,15,-0.69524192648144,0.014082580393918,-8.7340588671125,0.37500001200028,0
0.0015765555777,216,-0.46326531875011,0.016266617920243,-8.7227767980082,0.62500002000016,0
0.00022427318274482,366,-0.0083920360761229,0.024916759045364,-8.7211460925704,3.0557766517551,0
0.0010709136002874,217,-0.2811318280051,0.01276872819661,-8.7058424554586,0.87500002800016,0
0.00045940102557454,314,0.049042161732329,0.080683822957483,-8.6809836395334,5.1272831252205,0
0.00046978259949119,390,-0.12632996657905,0.0057710407851729,-8.669309577797,1.2216689698798,0
8.5713497806009e-05,379,-0.02439493426385,0.0069449909267298,-8.634463406016,2.5717387718572,0
0.00013659587043609,391,-0.059847964229259,0.0003516725420978,-8.603194347005,1.6634795784621,0
0.00044029129346693,301,0.016201430396685,0.023835959318521,-8.5899535226396,5.6689626826887,0
0.00038197326818417,354,0.027204086387281,0.063481709852822,-8.5799704391191,3.9968457919453,0
0.00024207857216652,367,-0.00035079186294862,0.030158060551119,-8.5635385936135,3.4964655980089,0
0.0002666555972591,341,0.055933613035401,0.096973387778053,-8.5569549987751,4.5113462826334,0
4.4987376800312e-05,392,-0.037881009716058,-0.00062968213135036,-8.5171977432427,2.1017510616542,0
0.00011052042971628,380,-0.017455979929821,0.010515615614526,-8.5037686957067,3.0098031937074,0
0.0019470995980809,16,-0.94629495169745,0.0068746073322502,-8.5035174855165,0.12500000400028,0
0.00012817539522282,328,0.063689800507813,0.10043514704214,-8.5032206256981,5.0354729888564,0
0.0019218705858428,17,-0.70600615649889,0.010450007816558,-8.4982093924659,0.37500001200028,0
0.0016522206858171,218,-0.46662320301246,0.010833234270126,-8.4875720130247,0.62500002000017,0
0.0011307378689213,219,-0.27905577830298,0.0062397739251661,-8.4716053471927,0.87500002800017,0
0.00051160888526874,404,-0.1248510065692,-0.0003024230312503,-8.4363701818607,1.2163627714475,0
0.00041276035644452,315,0.044490612568799,0.065530131730559,-8.41766201865,5.5673523239036,0
4.3110531062371e-05,393,-0.028358918414355,0.0012265908761225,-8.4115157990702,2.5355190160377,0
0.0002549310762338,368,0.0078817550545569,0.035690877885029,-8.3849611875258,3.9289940396224,0
0.00033116713927174,355,0.036023288167026,0.067003903035554,-8.3742688384688,4.4296255846586,0
0.00016631181131767,405,-0.061297784450014,-0.0031369890655871,-8.372453202897,1.6476482555752,0
0.00013112652913753,381,-0.011104953426648,0.014928807504781,-8.35282589804,3.4411040365957,0
0.00017234086118995,342,0.058917273631738,0.090256926846608,-8.3254576118631,4.9436628524927,0
0.00036968931135961,302,0.014380414992254,0.019186086026805,-8.2992889804432,6.1050205496292,0
5.8075123174779e-05,406,-0.03966609121221,-0.0029933457719449,-8.2897909294184,2.0755968500494,0
5.7952798414121e-05,394,-0.022510846738471,0.0040273264452199,-8.2863912988428,2.9638297356596,0
0.002003521670929,18,-0.9604104466736,0.0060240909039593,-8.2673463082616,0.12500000400028,0
