0 4.9689103973286004e+00 1.0714285714286000e-01 8.1531956704486996e-01 1.5189218461963999e-02 1.0714285714286000e-01
1 4.9689103955591998e+00 3.2142857142857001e-01 8.1531956702741004e-01 1.5189218053344000e-02 3.2142857142857001e-01
2 4.9689103937898000e+00 5.3571428571429003e-01 8.1531956700994002e-01 1.5189217644723000e-02 4.5637348301870001e-01
3 4.9689103920204998e+00 7.5000000000000000e-01 8.1531956699246999e-01 1.5189217236104001e-02 4.1077538147994003e-01
4 5.1003667899323002e+00 1.0714285875000000e-01 8.1523865056720002e-01 1.5193816761660000e-02 1.0714285875000000e-01
5 5.1003667881628996e+00 3.2142857624999999e-01 8.1523865054972999e-01 1.5193817172327999e-02 3.2142857624999999e-01
6 5.1003667863936002e+00 5.3571429375000001e-01 8.1523865053225997e-01 1.5193817582996001e-02 3.2795826713609000e-01
7 5.1003667846241996e+00 7.5000000482143003e-01 8.1523865051479005e-01 1.5193817082035000e-02 2.8660511403334998e-01
8 5.0279886756614003e+00 1.0714285714286000e-01 2.7284286464041002e-01 1.5193998705316000e-02 1.0714285714286000e-01
9 5.0279886749634999e+00 3.2142857142857001e-01 2.7284286462294000e-01 1.5193998540872000e-02 3.2142857142857001e-01
10 5.0279886742655000e+00 5.3571428571429003e-01 2.7284286460547003e-01 1.5193998376426999e-02 4.5156091848364999e-01
11 5.0279886735675996e+00 7.5000000000000000e-01 2.7284286458800999e-01 1.5193998211983001e-02 4.0658697183207998e-01
12 5.1579310956307998e+00 1.0714285767857000e-01 2.7276194816275001e-01 1.5189505664972999e-02 1.0714285767857000e-01
13 5.1579310949329003e+00 3.2142857303570999e-01 2.7276194814526999e-01 1.5189505827370000e-02 3.2142857303570999e-01
14 5.1579310942349004e+00 5.3571428839285995e-01 2.7276194812780002e-01 1.5189505989766001e-02 3.2468295627540000e-01
15 5.1579310935370000e+00 7.5000000160713998e-01 2.7276194811033000e-01 1.5189505848372000e-02 2.8398849925196001e-01
16 4.9689103975520998e+00 1.0714285714286000e-01 -8.1531956698108998e-01 1.5189218514819001e-02 1.0714285714286000e-01
17 4.9689103975520998e+00 3.2142857142857001e-01 -8.1531956698108998e-01 1.5189218514819001e-02 3.2142857142857001e-01
18 4.9689103975520998e+00 5.3571428571429003e-01 -8.1531956698108998e-01 1.5189218514819001e-02 4.5637347929175998e-01
19 4.9689103975520998e+00 7.5000000000000000e-01 -8.1531956698108998e-01 1.5189218514819001e-02 4.1077537619034998e-01
20 5.1003667901557996e+00 1.0714285714286000e-01 -8.1523865050341005e-01 1.5193816488066000e-02 1.0714285714286000e-01
21 5.1003667901557996e+00 3.2142857142857001e-01 -8.1523865050341005e-01 1.5193816488066000e-02 3.2142857142857001e-01
22 5.1003667901557996e+00 5.3571428571429003e-01 -8.1523865050341005e-01 1.5193816488066000e-02 3.2795826549140999e-01
23 5.1003667901557996e+00 7.5000000000000000e-01 -8.1523865050341005e-01 1.5193816488066000e-02 2.8660511090914997e-01
24 5.0279886753492002e+00 1.0714285714286000e-01 -2.7284286457662998e-01 1.5193998627925000e-02 1.0714285714286000e-01
25 5.0279886753492002e+00 3.2142857142857001e-01 -2.7284286457662998e-01 1.5193998627925000e-02 3.2142857142857001e-01
26 5.0279886753492002e+00 5.3571428571429003e-01 -2.7284286457662998e-01 1.5193998627925000e-02 4.5156091739546000e-01
27 5.0279886753492002e+00 7.5000000000000000e-01 -2.7284286457662998e-01 1.5193998627925000e-02 4.0658697014512002e-01
28 5.1579310953185997e+00 1.0714285714286000e-01 -2.7276194809893001e-01 1.5189505659249000e-02 1.0714285714286000e-01
29 5.1579310953185997e+00 3.2142857142857001e-01 -2.7276194809894999e-01 1.5189505659249000e-02 3.2142857142857001e-01
30 5.1579310953185997e+00 5.3571428571429003e-01 -2.7276194809894000e-01 1.5189505659249000e-02 3.2468295588307999e-01
