RE,CG,elv_file,wall_cells_file,n_total_cells,n_wall_cells,threshold,yw_wall_min,yw_wall_mean,yw_wall_median,yw_wall_max,largest_yw_below_threshold,smallest_yw_above_threshold,gap_ratio_next_over_wall
3000,1,/homes/aiskhak/projects/GP/1_mixing_length/3000/1/tamu_2d_fv_csv_elv_0031.csv,/homes/aiskhak/projects/GP/3_wall_cells/wall_cells_CG1.csv,1462,146,0.2221398721029068,0.098325056977363,0.1164474950588129,0.116931339689555,0.17927633752503,0.17927633752503,0.27525173404999,1.5353489358937857
3000,2,/homes/aiskhak/projects/GP/1_mixing_length/3000/2/tamu_2d_fv_csv_elv_0032.csv,/homes/aiskhak/projects/GP/3_wall_cells/wall_cells_CG2.csv,5848,292,0.11136523609455327,0.049586014146263,0.05830155261816367,0.0584095686108465,0.090115441802415,0.090115441802415,0.13762586702497,1.5272173588931102
3000,3,/homes/aiskhak/projects/GP/1_mixing_length/3000/3/tamu_2d_fv_csv_elv_0034.csv,/homes/aiskhak/projects/GP/3_wall_cells/wall_cells_CG3.csv,23392,584,0.05575601336686298,0.024897098707953,0.029169809651733165,0.029205986724518497,0.045176580446212,0.045176580446212,0.068812933512467,1.5231992513111268
3000,4,/homes/aiskhak/projects/GP/1_mixing_length/3000/4/tamu_2d_fv_csv_elv_0034.csv,/homes/aiskhak/projects/GP/3_wall_cells/wall_cells_CG4.csv,93568,1168,0.027896301710928634,0.012474349292286,0.014589610777152106,0.0146032648262495,0.022617947220794,0.022617947220794,0.034406466756263,1.5212020092005134
