id,x,y,z,yw
0,-1.0231699310924000e+01,1.2503062306912999e-01,0.0000000000000000e+00,9.9811244222588996e-02
1,-1.0225806030949000e+01,3.7503063106912998e-01,0.0000000000000000e+00,9.9871528683291994e-02
202,-1.0214002555590000e+01,6.2509227972421999e-01,0.0000000000000000e+00,9.9991480194287996e-02
203,-1.0196283149011000e+01,8.7509228772421999e-01,0.0000000000000000e+00,1.0017365043291999e-01
292,-1.0154999052333000e+01,1.2602531779641000e+00,0.0000000000000000e+00,9.8780565130712997e-02
293,-1.0079976265047000e+01,1.7789074742176001e+00,0.0000000000000000e+00,9.8715621620228997e-02
294,-9.9794518258132996e+00,2.2932281934202998e+00,0.0000000000000000e+00,9.8655635771045996e-02
295,-9.8536706340712001e+00,2.8019622127964001e+00,0.0000000000000000e+00,9.8600616520483006e-02
296,-9.7029391278923995e+00,3.3038700225134998e+00,0.0000000000000000e+00,9.8550572255654001e-02
297,-9.5276245383106009e+00,3.7977287418646002e+00,0.0000000000000000e+00,9.8505510635540999e-02
298,-9.3281539941438005e+00,4.2823351010835999e+00,0.0000000000000000e+00,9.8465438514416997e-02
299,-9.1050134796945006e+00,4.7565083765588998e+00,0.0000000000000000e+00,9.8430361918168993e-02
300,-8.8587466533686001e+00,5.2190932615846002e+00,0.0000000000000000e+00,9.8400286348136995e-02
301,-8.5899535226396004e+00,5.6689626826886999e+00,0.0000000000000000e+00,9.8375216291267997e-02
302,-8.2992889804431993e+00,6.1050205496291996e+00,0.0000000000000000e+00,9.8355155649265003e-02
303,-7.9874612105520004e+00,6.5262044235900003e+00,0.0000000000000000e+00,9.8340107480930000e-02
304,-7.6552299608308001e+00,6.9314881076213002e+00,0.0000000000000000e+00,9.8330074067718001e-02
305,-7.3034046932856000e+00,7.3198841452887997e+00,0.0000000000000000e+00,9.8325056977363004e-02
1421,-6.9794883408748998e+00,7.6476839016975999e+00,0.0000000000000000e+00,9.9040414455138004e-02
1416,-6.6880053919515996e+00,7.9181147885840000e+00,0.0000000000000000e+00,9.9040777399855007e-02
1411,-6.3866022241616003e+00,8.1774433505499005e+00,0.0000000000000000e+00,9.9041503294223995e-02
1406,-6.0757014492100998e+00,8.4253059709098004e+00,0.0000000000000000e+00,9.9042592114859995e-02
1401,-5.7557389964062997e+00,8.6613551096211001e+00,0.0000000000000000e+00,9.9044043871580001e-02
1396,-5.4271635005669001e+00,8.8852597911931994e+00,0.0000000000000000e+00,9.9045858522083002e-02
1391,-5.0904356730356000e+00,9.0967060687483006e+00,0.0000000000000000e+00,9.9048036059637995e-02
1386,-4.7460276565135002e+00,9.2953974636024999e+00,0.0000000000000000e+00,9.9050576467527005e-02
1381,-4.3944223623592000e+00,9.4810553815164997e+00,0.0000000000000000e+00,9.9053479707181993e-02
1376,-4.0361127938879999e+00,9.6534195030746996e+00,0.0000000000000000e+00,9.9056745748101999e-02
1371,-3.6716013526542999e+00,9.8122481497308005e+00,0.0000000000000000e+00,9.9060374534981996e-02
1366,-3.3013991376498000e+00,9.9573186210319005e+00,0.0000000000000000e+00,9.9064366071635004e-02
1361,-2.9260252292011000e+00,1.0088427506790000e+01,0.0000000000000000e+00,9.9068720290759998e-02
1356,-2.5460059574699998e+00,1.0205390973918000e+01,0.0000000000000000e+00,9.9073437141092000e-02
1351,-2.1618741657561000e+00,1.0308045023481000e+01,0.0000000000000000e+00,9.9078516573562994e-02
1346,-1.7741684635685000e+00,1.0396245720554999e+01,0.0000000000000000e+00,9.9083958530530994e-02
1341,-1.3834324722372000e+00,1.0469869395878000e+01,0.0000000000000000e+00,9.9089762962265002e-02
1336,-9.9021406217283003e-01,1.0528812819424999e+01,0.0000000000000000e+00,9.9095929793904997e-02
1331,-5.9506458372832005e-01,1.0572993345295000e+01,0.0000000000000000e+00,9.9102458954217001e-02
