id,u,v,x,y,z
0,-0.0091056075300082,0.038633328120231,-10.308224675849,0.031260885553413,0
1,-0.017298958654678,0.078483118447796,-10.307828942292,0.093781620016386,0
2,-0.012381042391932,0.12101008164363,-10.307077700108,0.15629924365789,0
3,-0.0064560294258809,0.15890386802213,-10.305970973474,0.21881168385313,0
4,-0.00095609064405047,0.19106728383714,-10.304508798655,0.28131686812124,0
5,0.0041945964771577,0.21786672090262,-10.302691224025,0.34381272289808,0
6,0.0090398868510857,0.23986430778582,-10.300518310036,0.40629717572198,0
7,0.013518224892998,0.25756812160367,-10.297990129232,0.46876815428693,0
3232,0.017534028590762,0.27167769950255,-10.295062898001,0.53129009997189,0
3233,0.02133103394029,0.28248460553177,-10.291735936504,0.59386089842553,0
3234,0.024825825332583,0.29027869444907,-10.288052445609,0.65641191608369,0
3235,0.027980117481056,0.29538174641049,-10.284012547006,0.71894106966461,0
3236,0.030790639587931,0.29812974058372,-10.279616374571,0.78144627646687,0
3237,0.033281868337019,0.298839489995,-10.27486407434,0.84392545464588,0
3238,0.035552251796436,0.29777870975146,-10.269755804553,0.90637652286051,0
3239,0.037895570956021,0.29505164631632,-10.264291735617,0.96879740064694,0
8,-0.12461340331631,0.037054502281939,-10.25818901942,0.031260327371189,0
9,-0.12383217404697,0.073447275627236,-10.257731092043,0.093779998630938,0
10,-0.11458362186616,0.11734719626808,-10.256935887251,0.15629671859853,0
11,-0.10377975230324,0.15933949888199,-10.25580342798,0.21880852093761,0
4672,0.041154071490068,0.28498741597523,-10.254888449118,1.06573028766,0
12,-0.092906087704097,0.19841750452164,-10.254333748637,0.28131343944838,0
13,-0.08214719955219,0.23453385824109,-10.252526895114,0.34380950690332,0
14,-0.071576255307803,0.26773980741506,-10.250382924763,0.40629475712086,0
15,-0.061287537824702,0.29820919996286,-10.247901906408,0.46876722406709,0
3240,-0.051475733660931,0.32585248480148,-10.244959484557,0.53128804443487,0
3241,-0.041892828214855,0.35100854247546,-10.241555014235,0.59385521230115,0
4673,0.041352184315541,0.2709858617104,-10.240912359708,1.1971044770432,0
3242,-0.032582693003254,0.37372437850066,-10.237812298074,0.65640361377171,0
3243,-0.023577353865178,0.39411725373279,-10.233731451524,0.71893127239977,0
3244,-0.014899316134352,0.41233128769732,-10.229312601593,0.78143621228909,0
4674,0.042028727214956,0.25570094743617,-10.225314516881,1.3282960056252,0
3245,-0.0065646057253534,0.42853146232605,-10.224555886831,0.84391645835635,0
3246,0.0014440305640438,0.44292490194406,-10.219461457362,0.90637003599587,0
3247,0.0092846697398237,0.45544875475709,-10.214029474854,0.96879497143428,0
16,-0.19540074670405,0.031931478085796,-10.208153362991,0.031259769188965,0
4675,0.042376333746278,0.24014132174279,-10.208097300597,1.4592848548731,0
17,-0.18947309143488,0.063727755179716,-10.207633241794,0.093778377245491,0
18,-0.17749424473099,0.102630433317,-10.206794074394,0.15629419353917,0
19,-0.16392897688715,0.13973938997634,-10.205635882487,0.21880535802208,0
4728,0.023785345414248,0.47362987129286,-10.204653525076,1.0653783150175,0
20,-0.15014995162919,0.17453475080289,-10.204158698619,0.28131001077552,0
21,-0.13650129980734,0.20699238574742,-10.202362566203,0.34380629090857,0
22,-0.12314215327692,0.2370610966819,-10.20024753949,0.40629233851975,0
23,-0.11020280259867,0.26488198458624,-10.197813683584,0.46876629384725,0
3248,-0.098003081355359,0.29010767136905,-10.194856071114,0.53128598889786,0
3249,-0.086191070151994,0.31315114650123,-10.191374091967,0.59384952617677,0
4729,0.035524096361838,0.48297737968562,-10.190695756632,1.1960487309621,0
4676,0.042149036434268,0.22482991970128,-10.189263337954,1.5900510368444,0
3250,-0.074799662251212,0.33405707872071,-10.187572150539,0.65639531145973,0
3251,-0.063860763043296,0.35294626466835,-10.183450356041,0.71892147513493,0
3252,-0.053403458829826,0.36996585630022,-10.179008828615,0.78142614811131,0
4730,0.04652687587312,0.48704828909472,-10.175125940978,1.3265368959011,0
3253,-0.043462063222262,0.38527922904207,-10.174247699322,0.84390746206683,0
3254,-0.034056281671533,0.3990335963305,-10.169167110171,0.90636354913123,0
4677,0.041640302560187,0.21030484829721,-10.168815502925,1.7205745964547,0
3255,-0.025032785975609,0.41106679867178,-10.163767214092,0.96879254222161,0
24,-0.25911921493855,0.027114521399745,-10.158117706561,0.031259211006741,0
4731,0.056242574272442,0.48656208312232,-10.157946450619,1.4568229234762,0
25,-0.24955128054263,0.055209632438175,-10.157535391544,0.093776755860044,0
26,-0.23574344409061,0.089799742048237,-10.156652261536,0.1562916684798,0
